DOT/USD,USDC/USD,MATIC/USD,SOL/USD,USDT/USD,ETH/USD,TRX/USD,BTC/USD,LTC/USD,AVAX/USD,SHIB/USD,DOGE/USD,UNI/USD,NEAR/USD,LINK/USD,ALGO/USD,BCH/USD,XTZ/USD,AAVE/USD,GRT/USD,MKR/USD,CRV/USD,YFI/USD,SUSHI/USD
4.49395,0.999875,0.0185,1.8036,1.0027,733.65,0.0731,29676.79,126.07,102.13,1.135e-05,0.0073,4.8606,16.428,11.766,0.446,343.01,0.70115053,276.67,0.6092,589.3935,0.4940435,28925.75,8.359
4.486105,1.00065,0.0192,1.9576,1.0004,786.88,0.076,33769.52,137.41,119.7,1.028e-05,0.0121,4.7735,14.644,12.0256,0.419,359.5,0.70437,253.86,0.5705,650.7619,0.502285,21906.22,7.933
4.48015,1.0005,0.0213,2.3033,1.0023,1086.86,0.0732,32908.02,165.0,136.47,1.07e-05,0.0101,5.9561,12.03,15.25,0.45,442.03,0.69845,262.49,0.5749,722.8778,0.4965645,25241.82,9.298
4.413965,1.0005,0.024,2.1059,1.0004,991.4,0.0717,30441.57,147.78,134.75,1.12e-05,0.0091,5.287,11.923,13.2304,0.408,393.25,0.692315,249.72,0.5447,663.8816,0.470925,23274.71,8.111
4.403,1.000465,0.0284,2.0,1.0029,1105.56,0.0717,35063.0,161.47,134.15,1.094e-05,0.0104,6.2096,10.602,14.4115,0.462,424.48,0.69485,220.05,0.4919,784.3956,0.472825,24131.11,8.225
4.5102,0.99995,0.0369,2.2755,1.0035,1212.89,0.0674,37485.27,170.89,122.19,1.0705e-05,0.0101,6.2497,10.254,16.7188,0.506,458.86,0.709015,237.73,0.5124,1143.8327,0.467734,22075.77,8.152
4.36535,1.00005,0.031,2.2663,1.0006,1149.52,0.0645,38009.79,157.72,120.02,1.062e-05,0.0094,5.8108,12.121,14.7033,0.434,417.07,0.68006,264.17,0.5514,1054.0794,0.441242,22557.59,8.386
4.49118,1.00005,0.0313,3.1349,1.0012,1187.2,0.0649,39379.24,164.8,115.85,1.093e-05,0.01,5.9259,10.7,15.1659,0.457,421.0,0.699155,290.75,0.5595,1059.1356,0.45785,21148.65,8.376
4.52691,0.99985,0.0343,3.5585,1.0025,1319.31,0.0632,40547.42,180.87,106.61,1.0615e-05,0.0103,6.4025,10.551,17.7894,0.502,607.6,0.6822195,295.49,0.5476,1919.2309,0.4521595,20473.56,9.133
4.469445,1.0001,0.0266,3.1282,0.9976,1092.0,0.0635,34860.75,142.78,108.83,1.077e-05,0.009,5.3428,10.831,14.6193,0.416,500.0,0.698783,287.23,0.547,1359.1694,0.4647685,21136.81,8.438
