c,h,l,n,o,t,v,vw
276.67,284,264.22,967,269.83,2021-07-15T05:00:00Z,2494.1643,272.099778197
253.86,277.06,249.2,705,276.04,2021-07-16T05:00:00Z,1405.168,264.7244919156
262.49,267.32,246.06,444,253,2021-07-17T05:00:00Z,1051.4951,256.2625455563
249.72,265.72,248.22,420,263.94,2021-07-18T05:00:00Z,1188.7139,255.551686823
220.05,252.86,218.82,722,250.25,2021-07-19T05:00:00Z,3262.4051,236.7788051757
237.73,240.23,212.94,611,221.73,2021-07-20T05:00:00Z,2772.3784,224.0404702096
264.17,267.82,237.21,1149,237.41,2021-07-21T05:00:00Z,3353.6939,254.928616756
290.75,291.89,259.79,1214,264.5,2021-07-22T05:00:00Z,3056.498,277.3772391067
295.49,298.97,268.91,1171,291.52,2021-07-23T05:00:00Z,2685.1313,284.4012990471
287.23,297.62,281.23,942,294.59,2021-07-24T05:00:00Z,1717.9566,289.8115394085
319.49,320.51,272.21,1486,286.46,2021-07-25T05:00:00Z,1969.3783,294.7339425249
293.77,335.73,285.54,2035,320.12,2021-07-26T05:00:00Z,2571.9212,315.177481863
300.83,312.51,284.48,1253,297.04,2021-07-27T05:00:00Z,2603.9305,297.1355886664
298,307.04,292.34,838,300.83,2021-07-28T05:00:00Z,2097.1437,297.9796983111
317.65,323.75,297.31,1326,297.31,2021-07-29T05:00:00Z,2321.5396,309.9358170173
318.15,325.62,300.19,1251,318.53,2021-07-30T05:00:00Z,2058.1356,314.8481690784
338.07,339.66,313.16,1533,317.91,2021-07-31T05:00:00Z,1949.7154,322.840989269
318.45,338.92,309.56,1288,338.92,2021-08-01T05:00:00Z,2198.7255,325.0141403099
307.73,328.74,306.32,936,316.14,2021-08-02T05:00:00Z,1283.8446,318.4068890923
307.12,316.69,302.26,742,306.27,2021-08-03T05:00:00Z,1864.0371,308.3552798617
355.68,359.63,300.35,3279,306.71,2021-08-04T05:00:00Z,5740.532,333.3619900858
360.64,383,344.5,4213,354.7,2021-08-05T05:00:00Z,8876.191,364.6880775818
377.45,380.83,359.29,1723,360.93,2021-08-06T05:00:00Z,2112.6073,370.2540929452
376.13,399.4,371.33,2389,377.86,2021-08-07T05:00:00Z,2623.6144,382.6511272392
357.51,386.82,347.55,1615,375.3,2021-08-08T05:00:00Z,1357.7468,363.5606107766
373.05,384.8,350.42,2220,357.13,2021-08-09T05:00:00Z,1858.2734,373.6562430803
400.38,402,370.4,4465,371.09,2021-08-10T05:00:00Z,7266.4685,390.5561108855
408.2,420,400.17,4276,401.18,2021-08-11T05:00:00Z,5625.8463,410.7398406654
411.64,412.23,375.91,2955,408.86,2021-08-12T05:00:00Z,4612.3624,396.1643924447
419.43,428.34,407.96,4499,412.06,2021-08-13T05:00:00Z,7732.9684,418.1033845117
408.53,428.4,404.89,2678,420.09,2021-08-14T05:00:00Z,3111.3601,413.3479630596
414.96,417.87,391.83,2837,408.34,2021-08-15T05:00:00Z,3469.6721,404.449463813
426.07,446.97,403.43,6336,415,2021-08-16T05:00:00Z,11346.3017,428.1210291209
377.15,448.37,361.81,5632,427.04,2021-08-17T05:00:00Z,7183.6705,404.7007302909
376.7,397.86,371.09,2952,379.24,2021-08-18T05:00:00Z,3613.6082,383.2148992829
408.37,414.69,371.57,3138,376.86,2021-08-19T05:00:00Z,4312.9216,399.2098746866
407.74,420.99,401.13,2485,408.84,2021-08-20T05:00:00Z,2079.5224,411.463052057
404.82,416.06,393.16,2221,408.53,2021-08-21T05:00:00Z,2556.0105,404.2182628675
410.7,414.99,386.17,3040,405.86,2021-08-22T05:00:00Z,3762.5654,401.11129784
409.16,415.35,400.05,2692,410.7,2021-08-23T05:00:00Z,2986.9945,409.4863219407
376.5,410.5,370,3485,409.24,2021-08-24T05:00:00Z,5813.9319,386.5217512403
372.82,388.77,363.79,1822,378.14,2021-08-25T05:00:00Z,3820.1802,377.7915876612
349.76,374.59,340.76,2672,372.24,2021-08-26T05:00:00Z,5817.1295,355.8216477348
368.75,375.78,350.16,1483,350.67,2021-08-27T05:00:00Z,2352.1614,366.6392867169
357.91,377.88,353.94,1557,366.79,2021-08-28T05:00:00Z,3048.8839,365.5927633647
353.21,368.8,352.31,902,357.57,2021-08-29T05:00:00Z,1191.0987,362.0104682274
356.87,376.74,346.23,1891,352.96,2021-08-30T05:00:00Z,3504.6797,361.2892977783
402.88,407.36,353.71,6164,356.87,2021-08-31T05:00:00Z,10427.8506,388.313586748
412.63,414.99,391.3,3592,403.81,2021-09-01T05:00:00Z,5306.899,404.5872349494
399.01,414.08,387.82,2594,412.07,2021-09-02T05:00:00Z,5023.7218,401.0805457275
394.87,407.92,389.87,1806,399.05,2021-09-03T05:00:00Z,3177.4836,397.5661156838
400.3,406.95,391.78,2040,394.32,2021-09-04T05:00:00Z,3772.2179,399.3152912797
415.18,425.39,396.35,4114,400.24,2021-09-05T05:00:00Z,5236.2539,417.3382679171
402.8,425.02,395,3279,414.13,2021-09-06T05:00:00Z,4417.4555,410.8028263848
338.63,406.78,303,8718,402.19,2021-09-07T05:00:00Z,22943.7171,346.8434877975
335.26,343.16,312.33,4931,339.99,2021-09-08T05:00:00Z,5115.9661,331.2668854033
335,350.7,325.01,3819,335.06,2021-09-09T05:00:00Z,5974.5256,340.662644497
317.36,335.13,304.34,2415,334.07,2021-09-10T05:00:00Z,6477.3694,318.0059457014
336.49,340.26,311.85,1599,317.91,2021-09-11T05:00:00Z,4167.8072,331.0658033308
317.5,348.46,314,1828,335.67,2021-09-12T05:00:00Z,2258.3711,336.5421469191
329,336.34,303.38,2343,317.82,2021-09-13T05:00:00Z,4235.5612,316.3271768867
392.84,400.83,328.94,7098,330.17,2021-09-14T05:00:00Z,17892.3873,377.4906823868
408.45,417.14,376.81,4974,392.6,2021-09-15T05:00:00Z,9469.9524,399.8100433429
388.13,409.62,371,2602,409.61,2021-09-16T05:00:00Z,5647.4912,392.3305611848
363.01,388.84,348.6,1429,388.33,2021-09-17T05:00:00Z,2966.1995,363.7825833728
350.95,368.99,347.33,961,362.29,2021-09-18T05:00:00Z,2457.2185,357.1864634781
324.52,357.79,317.4,1495,353.32,2021-09-19T05:00:00Z,3257.6703,336.1846312692
290.33,325.73,274.4,2429,324.09,2021-09-20T05:00:00Z,6605.4144,298.2554369573
269.07,306.9,260.01,1280,289.67,2021-09-21T05:00:00Z,3258.4676,281.6559417893
305.39,308.21,280.56,1165,280.56,2021-09-22T05:00:00Z,3658.6685,296.4365852949
298.31,311.94,294.46,1094,305.96,2021-09-23T05:00:00Z,2360.2568,302.6505135594
280.78,304.62,262.15,2750,297.92,2021-09-24T05:00:00Z,3594.2422,280.9677599395
266.95,282.59,262.37,1363,281,2021-09-25T05:00:00Z,2388.8785,271.0208701518
300.67,309.34,252.4,3709,267.2,2021-09-26T05:00:00Z,5384.0806,284.4875069077
277.03,303.96,270.79,1457,301.57,2021-09-27T05:00:00Z,2323.5191,285.1847680688
272.94,277.33,259.32,1763,277.01,2021-09-28T05:00:00Z,4314.1815,268.3699023975
277.06,280.13,259.28,2439,273.86,2021-09-29T05:00:00Z,5818.1635,273.5424741919
274.06,281.22,269.55,1563,277.45,2021-09-30T05:00:00Z,5173.1262,275.0190481181
299.66,306.84,273.67,2608,274.85,2021-10-01T05:00:00Z,2587.2719,294.0466171085
315.56,323.69,298.55,2304,298.55,2021-10-02T05:00:00Z,2547.349,314.2108716297
302.14,323.71,296.83,2097,316.16,2021-10-03T05:00:00Z,3279.7731,310.9492239564
298.92,311.53,291.33,1875,302.8,2021-10-04T05:00:00Z,3838.5816,302.6325679644
299.92,312.07,296.44,1839,300.06,2021-10-05T05:00:00Z,3965.3697,303.5920480958
307,318.03,284.77,3334,298.62,2021-10-06T05:00:00Z,4865.8446,305.1946802438
306.26,313.73,301.63,1686,306.86,2021-10-07T05:00:00Z,2134.8795,307.2645989518
310.31,324.45,304.16,2820,305.86,2021-10-08T05:00:00Z,2708.977,316.6900616716
306.17,313.55,299.38,1012,309.4,2021-10-09T05:00:00Z,1410.0762,307.1700600996
295.36,308.16,283.68,1414,306.18,2021-10-10T05:00:00Z,1691.7728,295.2703213658
283.17,301.86,278.27,1395,295.84,2021-10-11T05:00:00Z,2367.829,289.4699978018
290.76,302.98,271.11,2410,283.59,2021-10-12T05:00:00Z,4050.0657,286.0496920238
297.61,299.44,282.54,1819,289.47,2021-10-13T05:00:00Z,3067.3544,290.9679236178
301.95,310.74,295.33,2651,297.8,2021-10-14T05:00:00Z,4317.3218,304.0116916154
300.68,304.72,292.62,1538,302.33,2021-10-15T05:00:00Z,2976.7752,300.8277079764
308.79,316.4,300.57,2396,300.92,2021-10-16T05:00:00Z,4539.1427,309.1443966073
302.97,320.53,292.4,2418,309.01,2021-10-17T05:00:00Z,4924.6485,308.7267176799
298.98,305.15,289.91,1601,303.2,2021-10-18T05:00:00Z,3857.4431,297.3638245684
297.32,305.15,295.75,1668,298.98,2021-10-19T05:00:00Z,3642.4913,299.8032231846
323.52,325.71,296.68,3612,296.83,2021-10-20T05:00:00Z,5738.9848,313.7676667074
323.84,337.91,310.65,4632,323.63,2021-10-21T05:00:00Z,4840.0918,323.9028283195
314.88,325.32,305.75,2134,323.64,2021-10-22T05:00:00Z,1703.7528,312.9155872008
318.6,325.27,308.66,1951,314.6,2021-10-23T05:00:00Z,1678.6936,318.8351256161
311.72,319.95,300.13,2763,319,2021-10-24T05:00:00Z,1794.3511,309.1024476263
323.9,325,307.77,3179,311.85,2021-10-25T05:00:00Z,2784.8714,315.6309411681
339.27,345.49,323.76,5326,323.96,2021-10-26T05:00:00Z,5554.1067,335.9621453711
319.88,455,317.42,26878,339.37,2021-10-27T05:00:00Z,27115.0385,375.6957878417
343.63,349.8,316.62,7213,319.93,2021-10-28T05:00:00Z,9978.2542,335.7133793942
320.42,344.83,320.42,3436,343.63,2021-10-29T05:00:00Z,3194.9026,331.8348308959
316.93,325.07,312.71,1715,320.63,2021-10-30T05:00:00Z,2896.9376,318.1732353821
309.6,318.18,301.11,2552,317.02,2021-10-31T05:00:00Z,4109.5813,311.0105663263
321.48,324.89,306.91,4757,309.37,2021-11-01T05:00:00Z,3044.5386,319.482153276
313.65,328.5,313.17,2950,321.46,2021-11-02T05:00:00Z,2643.7108,322.415686661
325.74,329.22,310.71,3263,314.36,2021-11-03T05:00:00Z,6301.7161,319.5376066005
338.15,338.25,313.25,4449,325.74,2021-11-04T05:00:00Z,4795.9118,327.5322726121
320.42,346.67,316.66,3393,338.26,2021-11-05T05:00:00Z,3441.5235,333.0046106723
318.31,321.98,306.39,1549,320.41,2021-11-06T05:00:00Z,2858.5459,315.210943529
321.33,326.58,316.67,1789,318.31,2021-11-07T05:00:00Z,2799.5746,321.7832866361
338.3,338.81,320.93,2793,321.31,2021-11-08T06:00:00Z,3862.3301,329.9515916897
330.46,351.5,326.91,5462,338.83,2021-11-09T06:00:00Z,6917.331,341.434017338
313.3,346.3,296.07,5440,331.35,2021-11-10T06:00:00Z,6560.5379,321.7516290336
308.6,319.23,307.7,1555,314.08,2021-11-11T06:00:00Z,2620.0623,314.4044661224
307.4,310.59,296.52,1890,308.44,2021-11-12T06:00:00Z,2511.6524,304.3157080801
311.85,315.03,303.06,1569,307.71,2021-11-13T06:00:00Z,3600.4399,310.4708805349
312.32,317.47,309.47,1402,312.44,2021-11-14T06:00:00Z,2413.9169,313.4674905855
286.36,313.9,279.29,3144,311.85,2021-11-15T06:00:00Z,4548.8071,296.9699028424
275.45,287.79,264.01,2521,286.11,2021-11-16T06:00:00Z,2911.412,277.1784350047
280.45,288.58,270.26,1643,275.01,2021-11-17T06:00:00Z,2141.1877,281.2534630948
266.93,280.44,255.79,1914,279.83,2021-11-18T06:00:00Z,3060.8919,265.8288685072
275.44,281.06,263,987,266.58,2021-11-19T06:00:00Z,1173.1715,276.56099245
267.05,279.66,264.53,1034,276.62,2021-11-20T06:00:00Z,1656.954,272.6165999587
260.75,273.4,256.83,1258,267.65,2021-11-21T06:00:00Z,3976.7182,265.8512924265
268.95,270.79,257,1262,260.47,2021-11-22T06:00:00Z,4213.4042,262.7146216701
263.37,277.57,261.53,2048,269.81,2021-11-23T06:00:00Z,5476.2768,269.9914487809
253.37,264.79,251.35,1067,263.37,2021-11-24T06:00:00Z,2509.7592,256.0844922214
258.25,264.31,253.49,833,254.39,2021-11-25T06:00:00Z,1591.4537,260.5601573681
238.32,259.14,225.6,2064,258.39,2021-11-26T06:00:00Z,4107.8732,236.8850072461
227.17,243.51,224.57,685,238.32,2021-11-27T06:00:00Z,1220.5867,234.3170736622
237.58,241.6,218.91,1027,226.64,2021-11-28T06:00:00Z,2530.9406,230.0238194085
251.79,258.8,233.63,1473,238.81,2021-11-29T06:00:00Z,1666.2694,247.9898879857
262.9,266.79,244.53,2175,250.93,2021-11-30T06:00:00Z,4576.499,258.434220677
246.83,269.14,241.91,1804,263.38,2021-12-01T06:00:00Z,3180.5732,253.2611699743
242.81,247.8,239.6,847,246.69,2021-12-02T06:00:00Z,2463.1937,242.9572985953
