c,h,l,n,o,t,v,vw
102.13,106.57,92.06,5986,102.65,2021-11-18T06:00:00Z,39855.21,100.4883430598
119.7,119.88,100.94,6300,102.07,2021-11-19T06:00:00Z,54961.47,111.3540766395
136.47,173.0,114.57,11343,119.7,2021-11-20T06:00:00Z,108150.35,126.6046132296
134.75,152.1,92.0,18169,136.47,2021-11-21T06:00:00Z,186590.6,133.6111944991
134.15,146.75,128.51,13683,134.75,2021-11-22T06:00:00Z,119726.19,137.1624383679
122.19,134.31,119.11,11485,134.15,2021-11-23T06:00:00Z,95424.97,126.6687254552
120.02,127.28,112.5,10407,122.05,2021-11-24T06:00:00Z,141495.22,118.627479247
115.85,130.0,114.33,6848,119.69,2021-11-25T06:00:00Z,59113.3,122.8916900985
106.61,116.88,101.42,11515,115.75,2021-11-26T06:00:00Z,100340.11,107.9134775395
108.83,118.54,104.08,8099,106.88,2021-11-27T06:00:00Z,65948.96,111.2359724369
112.57,115.19,100.75,7189,108.84,2021-11-28T06:00:00Z,60511.41,108.9776486335
116.3,122.65,109.15,7490,112.69,2021-11-29T06:00:00Z,57405.83,116.4124402051
124.46,127.45,114.17,13050,115.92,2021-11-30T06:00:00Z,77387.04,122.2297938117
117.14,127.22,114.81,9392,125.0,2021-12-01T06:00:00Z,55795.71,121.2062815421
107.8,119.27,105.46,6336,116.98,2021-12-02T06:00:00Z,61461.86,111.4776643255
103.12,120.0,95.0,26310,107.99,2021-12-03T06:00:00Z,69756.08,108.7656572961
103.16,116.0,95.0,30822,102.49,2021-12-04T06:00:00Z,34670.79,104.6188758981
98.0,108.01,90.0,17077,102.82,2021-12-05T06:00:00Z,23717.32,97.5890445759
94.03,98.5,77.1,13736,98.03,2021-12-06T06:00:00Z,123040.17,89.7421580749
89.84,96.77,87.39,6364,94.03,2021-12-07T06:00:00Z,63841.13,92.3990959104
93.33,94.85,86.47,5538,89.84,2021-12-08T06:00:00Z,41577.15,91.2970016175
89.56,93.1,83.35,6893,92.87,2021-12-09T06:00:00Z,60055.17,88.2545616689
82.34,90.06,78.61,7023,89.71,2021-12-10T06:00:00Z,91580.82,83.5792055957
84.55,87.12,81.5,3860,82.23,2021-12-11T06:00:00Z,48091.72,84.4849697994
87.88,90.0,83.02,4969,84.62,2021-12-12T06:00:00Z,47745.88,87.3486484467
76.88,87.83,75.62,7513,87.62,2021-12-13T06:00:00Z,85307.19,80.2294972874
91.7,91.9,76.43,7658,77.12,2021-12-14T06:00:00Z,83513.73,84.7624235416
101.74,107.79,86.11,21998,91.75,2021-12-15T06:00:00Z,171324.03,97.9664868676
102.88,110.07,98.05,13541,101.97,2021-12-16T06:00:00Z,115232.27,104.0415518006
110.45,116.38,99.87,19962,102.98,2021-12-17T06:00:00Z,143287.8,108.943666927
113.71,117.55,109.94,7716,110.44,2021-12-18T06:00:00Z,68174.78,114.8878564493
103.6,114.29,102.9,6889,113.76,2021-12-19T06:00:00Z,72560.69,107.9728744421
117.32,119.33,101.0,14118,103.64,2021-12-20T06:00:00Z,115949.99,110.4098090168
124.54,127.4,115.93,12265,116.87,2021-12-21T06:00:00Z,91375.99,120.2038323798
120.28,125.94,115.66,8910,124.54,2021-12-22T06:00:00Z,65043.27,121.5718212907
119.73,125.05,117.3,6986,119.92,2021-12-23T06:00:00Z,54779.63,121.2507978933
114.32,124.64,112.52,8170,119.88,2021-12-24T06:00:00Z,51975.92,119.6517528348
111.39,116.91,109.43,5797,114.64,2021-12-25T06:00:00Z,48091.92,114.0906222189
116.0,118.01,110.83,5661,111.66,2021-12-26T06:00:00Z,52858.48,114.5962511673
112.99,121.0,107.89,8467,116.0,2021-12-27T06:00:00Z,57256.67,115.1395838668
108.0,116.66,104.41,9815,113.32,2021-12-28T06:00:00Z,58893.43,110.3987911198
101.64,109.1,98.01,7695,107.83,2021-12-29T06:00:00Z,59935.64,103.9416735852
103.66,105.5,100.34,4877,101.59,2021-12-30T06:00:00Z,38382.27,102.9574952784
109.58,112.05,102.43,8957,103.37,2021-12-31T06:00:00Z,68365.73,107.9086323338
116.05,117.61,108.9,5556,109.89,2022-01-01T06:00:00Z,35823.44,113.2291319762
112.13,116.58,110.69,4216,116.06,2022-01-02T06:00:00Z,25030.03,113.9790854346
105.72,113.37,105.0,6165,112.13,2022-01-03T06:00:00Z,57427.06,108.3453223759
105.54,109.29,102.51,5256,105.81,2022-01-04T06:00:00Z,74267.42,105.716979071
93.99,106.61,90.55,12387,105.54,2022-01-05T06:00:00Z,96721.13,98.5098529701
