c,h,l,n,o,t,v,vw
58.06,58.12,56.91,52627,57.5,2020-01-03T05:00:00Z,9865484,57.779809
57.66,57.76,56.66,38426,56.99,2020-01-06T05:00:00Z,6274401,57.537657
57.61,58.07,57.47,36887,57.91,2020-01-07T05:00:00Z,6497133,57.711725
58.85,59.4,57.73,50326,57.75,2020-01-08T05:00:00Z,9666831,58.846431
58.96,59.47,58.58,38926,59.26,2020-01-09T05:00:00Z,5922812,58.966389
59.24,59.49,58.62,50097,59.25,2020-01-10T05:00:00Z,9602132,59.206023
59.49,59.7,59.03,62487,59.03,2020-01-13T05:00:00Z,9030561,59.370608
61.45,62.25,60.86,116704,62.04,2020-01-14T05:00:00Z,17592607,61.628683
61.62,61.94,61.03,57531,61.54,2020-01-15T05:00:00Z,8428834,61.652731
61.88,62.48,61.63,37717,62.06,2020-01-16T05:00:00Z,5430300,61.917649
62.03,62.48,61.865,35992,62.13,2020-01-17T05:00:00Z,6486448,62.079973
60.34,61.61,58.43,100211,61.25,2020-01-21T05:00:00Z,17511091,60.002733
59.64,60.72,59.56,53657,60.63,2020-01-22T05:00:00Z,7543769,59.985902
60.27,60.375,58.19,60296,59.19,2020-01-23T05:00:00Z,8178527,59.613258
58.81,60.21,57.84,73345,60.05,2020-01-24T05:00:00Z,11525083,58.744767
56.83,57.18,55.62,84845,56.49,2020-01-27T05:00:00Z,14508196,56.563006
57.48,57.97,56.75,44900,57.55,2020-01-28T05:00:00Z,6919633,57.528755
56.65,57.8,56.57,45869,57.64,2020-01-29T05:00:00Z,6105765,56.914942
57.1,57.18,55.65,48266,55.65,2020-01-30T05:00:00Z,6417419,56.589095
55.74,57.08,55.43,63593,56.7,2020-01-31T05:00:00Z,10549239,55.884298
56.04,57.25,56.0,46482,56.2,2020-02-03T05:00:00Z,8611320,56.302002
57.93,58.4,57.15,47726,57.2,2020-02-04T05:00:00Z,7459170,57.929964
58.89,59.2993,58.5998,47344,58.97,2020-02-05T05:00:00Z,6567554,58.955257
58.18,60.03,58.02,42182,59.76,2020-02-06T05:00:00Z,5636775,58.607426
57.92,58.25,57.52,27689,57.94,2020-02-07T05:00:00Z,4236081,57.857442
57.71,58.12,57.43,34646,57.54,2020-02-10T05:00:00Z,4808665,57.694072
58.66,59.1,57.97,39867,58.1,2020-02-11T05:00:00Z,4928292,58.705382
59.47,59.915,59.18,42095,59.29,2020-02-12T05:00:00Z,5709294,59.534392
59.13,59.21,58.35,32592,58.75,2020-02-13T05:00:00Z,4688700,58.899346
58.9,59.47,58.58,33269,59.24,2020-02-14T05:00:00Z,4131501,58.899062
58.72,59.47,58.41,38063,58.87,2020-02-18T05:00:00Z,6080796,58.832396
58.51,58.58,58.03,36999,58.49,2020-02-19T05:00:00Z,4665839,58.371488
58.38,58.99,58.12,42225,58.2,2020-02-20T05:00:00Z,5810950,58.554789
57.87,58.02,56.87,44803,57.95,2020-02-21T05:00:00Z,7224909,57.552319
54.23,55.375,53.335,128555,54.83,2020-02-24T05:00:00Z,19107241,54.04138
50.89,54.71,50.75,117979,54.54,2020-02-25T05:00:00Z,16824897,51.840196
49.59,51.77,49.0,120556,51.44,2020-02-26T05:00:00Z,16775139,50.091459
48.19,50.98,45.03,141155,46.72,2020-02-27T05:00:00Z,22818512,48.266972
46.13,47.7899,45.1352,146320,46.02,2020-02-28T05:00:00Z,21219703,46.309695
47.16,47.25,44.33,137130,46.22,2020-03-02T05:00:00Z,22237686,46.016009
46.18,49.97,46.04,191831,49.81,2020-03-03T05:00:00Z,28354817,47.249976
48.5,48.64,46.021,137341,47.5,2020-03-04T05:00:00Z,21283223,47.369709
45.01,46.57,44.4175,172622,46.5,2020-03-05T05:00:00Z,23952047,45.375116
45.89,46.9283,42.87,187671,43.47,2020-03-06T05:00:00Z,26741769,45.555659
43.52,45.01,42.425,206797,43.04,2020-03-09T04:00:00Z,26646446,43.782609
45.47,45.88,41.46,214804,45.57,2020-03-10T04:00:00Z,29380648,44.181523
42.67,44.34,41.73,175304,44.0,2020-03-11T04:00:00Z,24243188,42.561905
33.71,38.78,33.46,245387,37.47,2020-03-12T04:00:00Z,37699128,35.970301
38.36,38.74,34.79,217240,38.54,2020-03-13T04:00:00Z,34822921,36.667385
35.81,38.08,31.23,243965,32.8,2020-03-16T04:00:00Z,36483298,34.872471
31.74,37.19,30.6,229057,36.23,2020-03-17T04:00:00Z,33880603,33.221211
23.49,29.79,19.1,370063,29.79,2020-03-18T04:00:00Z,64802140,23.597058
21.51,24.15,20.0,267383,23.36,2020-03-19T04:00:00Z,45418102,22.249238
21.35,26.85,21.26,320743,23.17,2020-03-20T04:00:00Z,56164408,23.006887
22.22,22.83,20.6,301514,22.17,2020-03-23T04:00:00Z,44963016,21.936582
26.89,28.98,24.52,386135,26.26,2020-03-24T04:00:00Z,66677973,26.530187
31.1,33.28,27.4,438039,31.49,2020-03-25T04:00:00Z,71611280,30.92219
31.7,35.89,30.424,368060,32.61,2020-03-26T04:00:00Z,58791060,33.223462
29.55,31.32,29.02,239539,30.72,2020-03-27T04:00:00Z,35497642,30.096126
28.67,29.29,26.0,174916,28.49,2020-03-30T04:00:00Z,29966981,28.049185
28.53,30.53,28.42,152031,29.35,2020-03-31T04:00:00Z,26174736,29.347918
23.87,26.59,23.69,353743,26.59,2020-04-01T04:00:00Z,57107296,24.736862
22.68,24.65,22.51,256352,23.91,2020-04-02T04:00:00Z,41258377,23.361845
22.48,23.65,21.75,350535,23.03,2020-04-03T04:00:00Z,48386308,22.318484
22.32,23.5,20.76,494655,22.3103,2020-04-06T04:00:00Z,95905544,22.206893
22.25,25.85,21.9,533688,25.21,2020-04-07T04:00:00Z,99760479,23.674848
23.23,23.64,22.53,380654,23.09,2020-04-08T04:00:00Z,68367628,23.041234
24.39,25.53,23.35,522012,25.4,2020-04-09T04:00:00Z,92358218,24.597085
23.25,25.06,22.08,465578,24.98,2020-04-13T04:00:00Z,76800214,23.014124
