c,h,l,n,o,t,v,vw
35.96,36.1,35.78,28313,35.92,2020-01-03T05:00:00Z,4631064,35.952107
35.78,35.82,35.46,37914,35.78,2020-01-06T05:00:00Z,7106142,35.736404
35.62,35.7,35.35,36732,35.67,2020-01-07T05:00:00Z,7661771,35.573131
35.595,36.08,35.57,38298,35.71,2020-01-08T05:00:00Z,6936360,35.755455
35.18,35.45,34.97,53467,35.14,2020-01-09T05:00:00Z,11599832,35.128433
34.89,35.23,34.79,34725,35.21,2020-01-10T05:00:00Z,6570250,34.954111
34.73,34.89,34.56,41745,34.85,2020-01-13T05:00:00Z,8822721,34.708177
35.35,35.37,34.51,50025,34.67,2020-01-14T05:00:00Z,7951730,35.149057
35.33,35.72,35.045,64494,35.43,2020-01-15T05:00:00Z,11708409,35.383425
35.92,35.995,35.27,43971,35.39,2020-01-16T05:00:00Z,7571702,35.852437
35.82,35.9,35.28,56346,35.32,2020-01-17T05:00:00Z,15457517,35.734027
35.72,35.86,35.47,43608,35.6,2020-01-21T05:00:00Z,8236543,35.694999
35.89,36.07,35.625,38168,35.81,2020-01-22T05:00:00Z,9441755,35.850599
35.61,35.98,35.545,40176,35.82,2020-01-23T05:00:00Z,9782164,35.660546
35.36,35.79,35.1,56268,35.79,2020-01-24T05:00:00Z,10747280,35.399335
35.48,35.74,34.75,64593,34.79,2020-01-27T05:00:00Z,12007578,35.403755
36.21,36.45,35.485,72822,35.61,2020-01-28T05:00:00Z,16379737,36.095582
34.58,35.53,34.345,123488,35.055,2020-01-29T05:00:00Z,22492586,34.887641
35.06,35.14,34.25,79156,34.36,2020-01-30T05:00:00Z,13329785,34.784241
33.56,35.03,33.53,100641,34.86,2020-01-31T05:00:00Z,20080961,33.830189
34.39,34.53,33.71,80114,33.75,2020-02-03T05:00:00Z,16685707,34.263926
37.41,39.25,34.33,210321,35.1,2020-02-04T05:00:00Z,49468866,36.86518
37.125,37.45,36.6102,123119,36.86,2020-02-05T05:00:00Z,27567259,37.071017
38.0,39.04,37.53,122506,37.73,2020-02-06T05:00:00Z,27571055,38.197268
36.2,36.87,35.8,99377,35.83,2020-02-07T05:00:00Z,20192424,36.42286
36.02,36.23,35.49,56172,36.18,2020-02-10T05:00:00Z,13585177,35.881711
36.435,36.675,36.06,50280,36.2,2020-02-11T05:00:00Z,10951921,36.463932
37.15,37.5,36.61,58091,36.64,2020-02-12T05:00:00Z,14244075,37.218612
37.19,37.27,36.7,34451,37.05,2020-02-13T05:00:00Z,8728304,37.143887
38.14,38.225,37.31,66041,37.57,2020-02-14T05:00:00Z,12021705,37.991429
37.87,38.63,37.76,64064,38.28,2020-02-18T05:00:00Z,18235871,38.020053
37.53,38.05,37.52,32472,38.03,2020-02-19T05:00:00Z,8408630,37.652559
37.69,37.87,37.215,49755,37.34,2020-02-20T05:00:00Z,10544915,37.586922
38.2,38.94,37.15,85169,37.34,2020-02-21T05:00:00Z,15690434,38.166245
37.26,37.87,36.97,70833,37.63,2020-02-24T05:00:00Z,24205234,37.326625
36.46,37.625,36.39,87775,37.31,2020-02-25T05:00:00Z,20646772,36.74054
36.69,37.18,36.4202,77164,36.81,2020-02-26T05:00:00Z,14682232,36.768952
35.04,36.45,35.01,101407,36.15,2020-02-27T05:00:00Z,17585539,35.612206
34.64,34.77,33.71,104842,34.09,2020-02-28T05:00:00Z,19496457,34.321384
35.96,35.965,34.275,89025,34.62,2020-03-02T05:00:00Z,14533581,35.326893
36.72,37.42,35.66,129468,35.73,2020-03-03T05:00:00Z,20309297,36.76573
38.49,38.54,37.14,93844,37.32,2020-03-04T05:00:00Z,14438077,38.035584
37.22,38.215,37.07,83137,37.48,2020-03-05T05:00:00Z,13037147,37.429645
36.39,36.79,35.585,75493,35.71,2020-03-06T05:00:00Z,13941534,36.215294
35.52,36.13,33.64,112941,34.02,2020-03-09T04:00:00Z,17127963,35.402893
36.04,36.61,35.0,127002,36.49,2020-03-10T04:00:00Z,16435755,35.783818
34.83,35.74,34.36,90029,35.15,2020-03-11T04:00:00Z,14043086,34.991093
33.03,35.04,32.5146,124264,32.74,2020-03-12T04:00:00Z,18833885,33.273303
33.99,34.81,32.99,148901,34.55,2020-03-13T04:00:00Z,22915816,33.760631
32.24,33.35,30.58,101943,30.88,2020-03-16T04:00:00Z,19169915,32.310725
33.28,33.94,32.32,98660,32.76,2020-03-17T04:00:00Z,15547412,33.246739
31.3,32.855,30.2,142936,31.62,2020-03-18T04:00:00Z,21663508,31.252137
29.6,31.49,29.445,117380,31.47,2020-03-19T04:00:00Z,21272741,30.241375
27.58,30.2,27.205,164898,29.5,2020-03-20T04:00:00Z,28147751,28.15818
26.34,27.64,26.02,130227,27.25,2020-03-23T04:00:00Z,19967320,26.566834
27.67,27.875,26.24,146548,27.37,2020-03-24T04:00:00Z,28935199,27.389935
28.37,29.48,27.12,128020,27.66,2020-03-25T04:00:00Z,20738362,28.614245
30.16,30.27,28.48,102606,28.48,2020-03-26T04:00:00Z,15825011,29.757572
30.18,30.87,29.38,104465,29.53,2020-03-27T04:00:00Z,15850395,30.233574
31.19,31.54,30.02,93398,30.62,2020-03-30T04:00:00Z,18204020,31.047708
30.06,31.18,29.94,104324,31.03,2020-03-31T04:00:00Z,18888150,30.315689
28.78,29.75,28.475,97082,29.34,2020-04-01T04:00:00Z,15678928,29.00311
29.19,29.41,28.3,71611,28.32,2020-04-02T04:00:00Z,13659972,29.061916
29.41,29.67,28.8,67230,29.15,2020-04-03T04:00:00Z,13886408,29.320173
31.18,31.32,30.28,97083,30.67,2020-04-06T04:00:00Z,16299747,30.937747
31.62,32.22,31.555,74034,32.08,2020-04-07T04:00:00Z,11787265,31.798234
33.01,33.08,31.8,88544,31.85,2020-04-08T04:00:00Z,13075405,32.798344
33.83,34.1,33.37,89585,33.4,2020-04-09T04:00:00Z,14873848,33.80346
34.76,35.08,33.955,90914,34.29,2020-04-13T04:00:00Z,16261825,34.651543
35.74,35.98,35.27,91351,35.45,2020-04-14T04:00:00Z,16602109,35.744128
36.19,36.41,35.075,74044,35.31,2020-04-15T04:00:00Z,11405322,35.969381
37.22,37.37,36.29,72274,36.53,2020-04-16T04:00:00Z,12490463,37.013722
37.455,37.64,36.99,96457,37.45,2020-04-17T04:00:00Z,19335475,37.34195
37.64,38.315,37.28,76284,37.47,2020-04-20T04:00:00Z,15103239,37.835652
37.61,38.23,37.305,85639,37.51,2020-04-21T04:00:00Z,13176066,37.71533
38.25,38.48,37.92,68425,38.15,2020-04-22T04:00:00Z,11015652,38.278354
37.91,38.84,37.66,85323,38.46,2020-04-23T04:00:00Z,18166588,38.096752
39.35,39.53,38.27,92121,38.85,2020-04-24T04:00:00Z,18063950,39.110146
39.63,40.36,39.56,76428,40.0353,2020-04-27T04:00:00Z,11987557,39.858053
39.08,39.9,38.91,103745,39.59,2020-04-28T04:00:00Z,17081472,39.235954
39.03,39.75,38.84,121670,39.45,2020-04-29T04:00:00Z,19267367,39.146281
39.83,39.96,37.55,115196,37.63,2020-04-30T04:00:00Z,19965620,39.335628
39.25,39.465,38.34,94648,38.78,2020-05-01T04:00:00Z,14961479,39.026079
39.83,39.87,39.06,61974,39.28,2020-05-04T04:00:00Z,11952571,39.660392
40.32,40.76,39.765,81240,39.92,2020-05-05T04:00:00Z,13139804,40.378804
40.95,41.09,40.19,72208,40.64,2020-05-06T04:00:00Z,11570716,40.846126
41.37,41.609,41.06,73918,41.2685,2020-05-07T04:00:00Z,13305158,41.374861
42.15,42.44,41.7,60535,41.7,2020-05-08T04:00:00Z,9711383,42.140269
42.13,42.43,41.595,80656,41.88,2020-05-11T04:00:00Z,14450873,42.0755
42.0,42.86,41.78,63592,42.24,2020-05-12T04:00:00Z,11352046,42.312765
41.58,42.38,41.05,72293,41.78,2020-05-13T04:00:00Z,13817982,41.622012
42.035,42.09,40.81,75877,41.31,2020-05-14T04:00:00Z,13059127,41.645858
42.11,42.47,41.38,65316,41.46,2020-05-15T04:00:00Z,18328059,42.093341
42.5,42.9,42.33,62316,42.6,2020-05-18T04:00:00Z,9778002,42.592464
42.4,43.18,42.39,67359,42.46,2020-05-19T04:00:00Z,17190350,42.627701
42.71,43.335,42.44,62822,43.0,2020-05-20T04:00:00Z,10278494,42.805302
42.47,42.93,42.24,59314,42.75,2020-05-21T04:00:00Z,9124981,42.617781
43.45,43.495,42.21,65662,42.25,2020-05-22T04:00:00Z,10391064,43.071863
43.36,44.28,43.31,72117,43.99,2020-05-26T04:00:00Z,10724386,43.712395
