c,h,l,n,o,t,v,vw
0.6092,0.6374,0.5904,1239,0.601,2021-07-15T05:00:00Z,1173033.65,0.6072245259
0.5705,0.6107,0.5645,2121,0.6088,2021-07-16T05:00:00Z,1235372.44,0.6003366562
0.5749,0.5866,0.5575,308,0.5719,2021-07-17T05:00:00Z,235455.77,0.5686549839
0.5447,0.578,0.5414,414,0.576,2021-07-18T05:00:00Z,287845.01,0.5558065092
0.4919,0.5545,0.4786,497,0.544,2021-07-19T05:00:00Z,475412.79,0.5110422205
0.5124,0.5124,0.4749,416,0.4928,2021-07-20T05:00:00Z,584655.38,0.4926461108
0.5514,0.5765,0.5098,742,0.5105,2021-07-21T05:00:00Z,722916.92,0.5519336836
0.5595,0.5677,0.5304,706,0.5508,2021-07-22T05:00:00Z,737075.22,0.5525263481
0.5476,0.5663,0.5169,812,0.559,2021-07-23T05:00:00Z,801996.33,0.537392797
0.547,0.5937,0.5354,1375,0.548,2021-07-24T05:00:00Z,1145299.71,0.5650851261
0.57,0.5786,0.5253,1002,0.547,2021-07-25T05:00:00Z,1025032.38,0.5515605019
0.5395,0.615,0.525,1450,0.57,2021-07-26T05:00:00Z,1383756.86,0.580601634
0.558,0.5917,0.5401,1071,0.5412,2021-07-27T05:00:00Z,994059.68,0.567775634
0.5656,0.5815,0.5471,828,0.5568,2021-07-28T05:00:00Z,481901.27,0.5602658292
0.5849,0.6346,0.5603,1698,0.5665,2021-07-29T05:00:00Z,1224568.24,0.5988990606
0.6028,0.6168,0.555,1296,0.5857,2021-07-30T05:00:00Z,1034574.81,0.5875507468
0.6615,0.6672,0.5901,1916,0.6,2021-07-31T05:00:00Z,1298630.84,0.6300366129
0.6433,0.7261,0.6345,3475,0.6616,2021-08-01T05:00:00Z,2755092.39,0.6869720396
0.6539,0.7089,0.6345,1903,0.6448,2021-08-02T05:00:00Z,1471593.89,0.6760516296
0.6392,0.666,0.6311,908,0.6517,2021-08-03T05:00:00Z,616530.46,0.6476508825
0.6631,0.684,0.6233,1414,0.6371,2021-08-04T05:00:00Z,1242214.33,0.6655701085
0.676,0.7147,0.6389,2009,0.6624,2021-08-05T05:00:00Z,1629936.88,0.6765973606
0.7404,0.7493,0.6759,1816,0.6762,2021-08-06T05:00:00Z,1683923.37,0.7099242196
0.7059,0.7606,0.6974,1840,0.7405,2021-08-07T05:00:00Z,2231312.31,0.7257920795
0.6729,0.729,0.6471,1690,0.7054,2021-08-08T05:00:00Z,2373960.2,0.6923667184
0.7219,0.7392,0.6618,1848,0.672,2021-08-09T05:00:00Z,1297808.46,0.714509739
0.7649,0.7782,0.7089,2975,0.7214,2021-08-10T05:00:00Z,2660735.65,0.7497478134
0.8041,0.8852,0.7662,3975,0.7662,2021-08-11T05:00:00Z,3591579.02,0.8216270402
0.9075,0.9323,0.7605,6302,0.8019,2021-08-12T05:00:00Z,5230817.06,0.8720262377
0.9134,0.9548,0.873,3955,0.9104,2021-08-13T05:00:00Z,3102462.1,0.9169396757
0.8902,0.9437,0.8698,2311,0.9137,2021-08-14T05:00:00Z,2535099.88,0.8970624849
0.9241,0.9241,0.8443,2263,0.8905,2021-08-15T05:00:00Z,2036231.85,0.897198995
0.8979,0.935,0.8169,2797,0.9242,2021-08-16T05:00:00Z,2032286.9,0.8854664071
0.8581,1.0224,0.8144,5556,0.8961,2021-08-17T05:00:00Z,3047587.13,0.9313131536
0.8568,0.9203,0.8199,2411,0.8637,2021-08-18T05:00:00Z,1657240.86,0.8727573193
1.0398,1.067,0.8452,7452,0.8538,2021-08-19T05:00:00Z,5582393.61,0.9864528872
1.0172,1.092,1.0046,4678,1.0389,2021-08-20T05:00:00Z,3624941.37,1.0515002815
1.0266,1.0537,0.9847,2966,1.015,2021-08-21T05:00:00Z,2516886.97,1.0230315649
1.0538,1.0834,0.9618,3728,1.0264,2021-08-22T05:00:00Z,2551084.42,1.03445743
1.0143,1.0627,0.9828,2435,1.0528,2021-08-23T05:00:00Z,1815199.28,1.0185319971
0.935,1.0249,0.8916,3150,1.0152,2021-08-24T05:00:00Z,2205611.15,0.9382567423
0.8886,0.9802,0.882,2657,0.9405,2021-08-25T05:00:00Z,1882499.26,0.9313383527
0.8517,0.8955,0.8398,2261,0.8873,2021-08-26T05:00:00Z,1581850.39,0.8716614137
0.9171,0.9416,0.8559,1802,0.8582,2021-08-27T05:00:00Z,1178650.93,0.91532162
0.8956,0.9495,0.8746,1673,0.9166,2021-08-28T05:00:00Z,1381165.84,0.9159689009
0.8869,0.9297,0.878,1082,0.8917,2021-08-29T05:00:00Z,790720.53,0.903933885
0.8627,0.9041,0.8428,1692,0.8863,2021-08-30T05:00:00Z,1525000.82,0.8761579521
0.8585,0.9096,0.8283,2001,0.8617,2021-08-31T05:00:00Z,1460014.57,0.8688779565
0.9212,0.9366,0.8541,2359,0.8598,2021-09-01T05:00:00Z,2356298.68,0.9112075234
0.9193,0.9463,0.8801,1962,0.9193,2021-09-02T05:00:00Z,1301061.41,0.9170388734
0.9367,0.9386,0.9008,1832,0.9193,2021-09-03T05:00:00Z,1808721.88,0.9238817522
0.9626,0.9787,0.9209,2873,0.9358,2021-09-04T05:00:00Z,2060286.28,0.9484447623
1.0328,1.0461,0.9402,4420,0.9654,2021-09-05T05:00:00Z,3260371.47,1.0104141498
1.0338,1.0765,0.9158,6098,1.0331,2021-09-06T05:00:00Z,6232224.42,1.0251511612
0.8173,1.0388,0.712,7290,1.0334,2021-09-07T05:00:00Z,5422006.54,0.8668707585
0.8278,0.8619,0.7452,2866,0.8222,2021-09-08T05:00:00Z,1965885.43,0.8096376499
0.8805,0.9183,0.8225,5618,0.8238,2021-09-09T05:00:00Z,3160383.74,0.8765549903
0.8328,0.8944,0.7838,7345,0.88,2021-09-10T05:00:00Z,2276348.78,0.8335884214
0.856,0.9123,0.8118,5342,0.8351,2021-09-11T05:00:00Z,2586625.12,0.870363353
0.9038,0.9526,0.8476,5079,0.8539,2021-09-12T05:00:00Z,2117725.44,0.9035234727
0.8419,0.8799,0.7948,3188,0.8677,2021-09-13T05:00:00Z,969245.66,0.839056856
0.8497,0.8792,0.8352,2106,0.8442,2021-09-14T05:00:00Z,862588.28,0.8546718867
0.8945,0.9213,0.8468,4123,0.8484,2021-09-15T05:00:00Z,2021307.75,0.8902392389
0.8543,0.9182,0.8355,2996,0.8934,2021-09-16T05:00:00Z,1762944.59,0.8700260754
0.8405,0.8575,0.8032,1601,0.8556,2021-09-17T05:00:00Z,1410254.51,0.8235392148
0.8243,0.8476,0.8179,1022,0.8408,2021-09-18T05:00:00Z,1033640.81,0.8350570827
0.7781,0.8396,0.7567,1523,0.8245,2021-09-19T05:00:00Z,1239564.56,0.8011933558
0.6879,0.7807,0.6542,2914,0.7751,2021-09-20T05:00:00Z,2613263.77,0.7106339418
0.6716,0.7357,0.6304,1875,0.687,2021-09-21T05:00:00Z,1764478.22,0.6833424891
0.7438,0.7466,0.675,1447,0.6763,2021-09-22T05:00:00Z,1148070.2,0.7248491359
0.7605,0.8003,0.7104,5589,0.7405,2021-09-23T05:00:00Z,4163547.24,0.761837242
0.6933,0.7619,0.6509,3225,0.7601,2021-09-24T05:00:00Z,2139207.19,0.7064086323
0.6683,0.7012,0.6511,1815,0.6936,2021-09-25T05:00:00Z,1214837.39,0.6766094
0.6864,0.7141,0.6236,2693,0.6695,2021-09-26T05:00:00Z,1931104.26,0.6793659145
0.673,0.7199,0.6575,1857,0.6879,2021-09-27T05:00:00Z,1652690.2,0.6886523674
0.6599,0.6715,0.6246,1249,0.6715,2021-09-28T05:00:00Z,1270994.45,0.6470656554
0.6503,0.6663,0.6198,824,0.6597,2021-09-29T05:00:00Z,545705.17,0.6417104096
0.6511,0.6581,0.635,781,0.6514,2021-09-30T05:00:00Z,577698.22,0.6472700897
0.7001,0.7265,0.6512,2741,0.6517,2021-10-01T05:00:00Z,2431996.63,0.7039410636
0.7367,0.7578,0.7009,2734,0.7009,2021-10-02T05:00:00Z,2404006.33,0.7315088801
0.7182,0.7567,0.7017,2317,0.7358,2021-10-03T05:00:00Z,2789205.19,0.7369785516
