c,h,l,n,o,t,v,vw
11.766,12.473,11.2638,3477,11.465,2021-01-01T06:00:00Z,191372.27,11.8711236217
12.0256,12.4737,11.5214,4112,11.7301,2021-01-02T06:00:00Z,279819.53,12.0516099778
15.25,15.5235,11.8583,9780,12.0183,2021-01-03T06:00:00Z,572287.56,13.4301064409
13.2304,15.8,12.3499,8544,15.2147,2021-01-04T06:00:00Z,497340.11,13.7599689981
14.4115,14.9489,13.2324,6285,13.2587,2021-01-05T06:00:00Z,313335.75,14.3945035929
16.7188,17.4664,14.25,11056,14.3993,2021-01-06T06:00:00Z,546525.24,16.4241305625
14.7033,17.4,14.1436,8915,16.7618,2021-01-07T06:00:00Z,468129.66,15.8980063385
15.1659,16.1909,14.5503,4505,14.7775,2021-01-08T06:00:00Z,231136.71,15.3984016523
17.7894,18.4949,15.0157,8219,15.1492,2021-01-09T06:00:00Z,356517.46,17.1234551877
14.6193,18.2,14,8694,17.753,2021-01-10T06:00:00Z,372948.93,16.0839660816
15.1438,15.2439,12.511,7098,14.5056,2021-01-11T06:00:00Z,354439.13,13.7787080406
13.9407,15.4739,13.3592,5173,15.175,2021-01-12T06:00:00Z,288416.08,14.3852649909
15.5758,16.3748,13.9304,5509,13.95,2021-01-13T06:00:00Z,321791.63,15.55084635
17.7432,18.75,15.5234,9035,15.5683,2021-01-14T06:00:00Z,442875.19,17.3327400478
21.8049,22.6635,17.5,26630,17.7394,2021-01-15T06:00:00Z,1140743.63,20.1510285259
20.2456,22.9451,19.3773,14759,21.8491,2021-01-16T06:00:00Z,636030.02,21.2875827061
22.1663,23.7384,19.6565,12209,20.2775,2021-01-17T06:00:00Z,487896.07,22.2543511031
21.5362,22.9498,21.12,7261,22.5696,2021-01-18T06:00:00Z,296176.74,21.7752947984
20.5457,22.8845,19.9732,7341,21.5296,2021-01-19T06:00:00Z,300178.78,21.2670515912
21.0777,22.0313,19.0691,8108,20.5468,2021-01-20T06:00:00Z,388361.29,20.6695362258
19.6424,21.2808,17.03,12415,21.0494,2021-01-21T06:00:00Z,583554.04,19.1074764144
23.3795,23.513,19.1363,11238,19.7378,2021-01-22T06:00:00Z,529065.76,21.7406041901
24.0903,25.5,22.8,13504,23.3797,2021-01-23T06:00:00Z,620255.07,24.4832560644
25.2587,25.7826,23.1095,8553,24.08,2021-01-24T06:00:00Z,409969.9,24.5986332929
23.225,25.2683,22.5003,6485,25.2667,2021-01-25T06:00:00Z,309574.97,23.8081609657
21.8837,23.3075,21.67,5340,23.2245,2021-01-26T06:00:00Z,251390.84,22.5453562074
23.5962,23.6536,20.2832,6314,21.931,2021-01-27T06:00:00Z,282863.45,21.5393314238
22.5847,24.4939,22.0569,8560,23.6596,2021-01-28T06:00:00Z,331472.18,23.3723015775
22.3064,24.2909,22.2,8526,22.589,2021-01-29T06:00:00Z,324661.83,22.946844053
23.2042,24.6792,22.2186,6805,22.3078,2021-01-30T06:00:00Z,299494.44,23.4882995382
22.4366,23.2758,21.7912,4861,23.1926,2021-01-31T06:00:00Z,181228.72,22.4570747251
23.22,23.4751,21.65,4681,22.4324,2021-02-01T06:00:00Z,195531.11,22.6472844828
23.9054,24.2912,22.755,5371,23.226,2021-02-02T06:00:00Z,225764.84,23.5558416957
24.7161,26.19,23.6912,9737,23.9195,2021-02-03T06:00:00Z,369323.68,24.9486543308
26.0263,26.7,23.2185,11646,24.6415,2021-02-04T06:00:00Z,445324.79,24.9067097763
25.0464,26.99,24.2822,12627,26.05,2021-02-05T06:00:00Z,432710.61,26.0108536759
24.1432,26.06,23.72,7216,25.0872,2021-02-06T06:00:00Z,227184.56,25.0126268082
24.3802,25.0357,22.8667,5803,24.15,2021-02-07T06:00:00Z,157611.73,24.2553610544
25.6147,26,24.316,8834,24.3716,2021-02-08T06:00:00Z,245762.23,25.2996973764
27.3684,28.33,25.0743,10696,25.6146,2021-02-09T06:00:00Z,260029.05,26.7910187754
27.009,28.6807,25.124,11171,27.3686,2021-02-10T06:00:00Z,266226.35,26.9375320428
27.3043,28.5338,26.7344,10022,27.038,2021-02-11T06:00:00Z,258455.72,27.7561951557
31.0806,32.1575,27.0414,14422,27.3447,2021-02-12T06:00:00Z,331848.39,30.1071644444
33.5429,35.76,29.1524,17430,31.085,2021-02-13T06:00:00Z,361709.73,32.702282316
