c,h,l,n,o,t,v,vw
0.0185,0.0188,0.0172,289,0.0181,2021-01-01T06:00:00Z,4464954.3,0.0180062855
0.0192,0.0197,0.018,424,0.0188,2021-01-02T06:00:00Z,7747730.4,0.0188597462
0.0213,0.0215,0.0189,610,0.0192,2021-01-03T06:00:00Z,19586560.3,0.0201814317
0.024,0.0271,0.0196,2250,0.0215,2021-01-04T06:00:00Z,59186519.7,0.0236904355
0.0284,0.0292,0.0235,1451,0.024,2021-01-05T06:00:00Z,20483183.1,0.0260780866
0.0369,0.0397,0.026,3458,0.0285,2021-01-06T06:00:00Z,55652516.6,0.0339640397
0.031,0.0382,0.0273,1702,0.0373,2021-01-07T06:00:00Z,27328981.6,0.0329340236
0.0313,0.035,0.0282,1118,0.0309,2021-01-08T06:00:00Z,12822515.2,0.0320175033
0.0343,0.0362,0.0308,799,0.0315,2021-01-09T06:00:00Z,11122200.8,0.0336690904
0.0266,0.0346,0.0247,1280,0.0343,2021-01-10T06:00:00Z,19707445.6,0.0297549282
0.0276,0.0283,0.0227,793,0.0268,2021-01-11T06:00:00Z,13335954.2,0.0248576656
0.0254,0.0284,0.0247,396,0.0278,2021-01-12T06:00:00Z,6974885.6,0.0265148347
0.0298,0.0306,0.0254,681,0.0254,2021-01-13T06:00:00Z,15841286,0.0292120925
0.0326,0.034,0.0296,734,0.0298,2021-01-14T06:00:00Z,19944175.9,0.0315731032
0.0337,0.0355,0.029,1125,0.0326,2021-01-15T06:00:00Z,19347424,0.0329751499
0.0325,0.0364,0.032,1193,0.034,2021-01-16T06:00:00Z,14972224.1,0.034180494
0.0349,0.0352,0.0307,772,0.0325,2021-01-17T06:00:00Z,12777505.2,0.0334871205
0.0347,0.0378,0.0341,1094,0.0349,2021-01-18T06:00:00Z,20698953.9,0.0357866467
0.0322,0.0359,0.0312,809,0.0346,2021-01-19T06:00:00Z,11210052.8,0.033794121
0.0326,0.035,0.0304,771,0.0324,2021-01-20T06:00:00Z,7733908.7,0.0329700311
0.0298,0.0332,0.0263,896,0.0327,2021-01-21T06:00:00Z,10427016.5,0.0295684794
0.0322,0.0331,0.0293,504,0.0298,2021-01-22T06:00:00Z,4394213.2,0.0318769998
0.0349,0.0354,0.0307,741,0.0321,2021-01-23T06:00:00Z,11998952.6,0.0339858109
0.0345,0.0352,0.0322,528,0.0351,2021-01-24T06:00:00Z,10593332.4,0.0335287322
0.033,0.0369,0.0318,740,0.0346,2021-01-25T06:00:00Z,11554021.9,0.0337716254
0.0439,0.0482,0.0325,4657,0.033,2021-01-26T06:00:00Z,76355543.1,0.0420899657
0.0431,0.0463,0.0374,2330,0.0439,2021-01-27T06:00:00Z,31857586.2,0.041598042
0.0392,0.0444,0.0359,2078,0.0433,2021-01-28T06:00:00Z,27758226.3,0.0403885468
0.0411,0.047,0.0384,2953,0.0393,2021-01-29T06:00:00Z,41127629.9,0.0427179578
0.0393,0.0426,0.0389,1404,0.0413,2021-01-30T06:00:00Z,15706473.1,0.0405788637
0.038,0.0396,0.0361,793,0.0392,2021-01-31T06:00:00Z,10315274.5,0.0376174425
0.0408,0.0427,0.0363,1085,0.0379,2021-02-01T06:00:00Z,13977431.8,0.0393816437
0.0409,0.0423,0.0392,900,0.0408,2021-02-02T06:00:00Z,7508459.7,0.0406494064
0.0422,0.0445,0.0398,1000,0.041,2021-02-03T06:00:00Z,8114765.1,0.0424927573
