c,h,l,n,o,t,v,vw
1.8036,1.9156,1.5759,953,1.6162,2021-01-01T06:00:00Z,129522.51,1.7496523992
1.9576,2,1.7175,1024,1.8138,2021-01-02T06:00:00Z,110355.4,1.8819773172
2.3033,2.4173,1.9223,2153,1.9766,2021-01-03T06:00:00Z,234503.08,2.1480642778
2.1059,2.5,1.887,2115,2.2891,2021-01-04T06:00:00Z,153615.32,2.2830264269
2,2.3979,1.9693,1871,2.1037,2021-01-05T06:00:00Z,259699.56,2.1619564491
2.2755,2.4444,1.943,3207,1.9963,2021-01-06T06:00:00Z,378384.91,2.1556234175
2.2663,2.6484,2.0068,4280,2.2671,2021-01-07T06:00:00Z,359356.97,2.3019180525
3.1349,3.8128,2.2139,4332,2.26,2021-01-08T06:00:00Z,716859.32,3.2842040447
3.5585,3.6836,2.938,2332,3.1252,2021-01-09T06:00:00Z,257209.59,3.3593062495
3.1282,3.76,3.0187,1928,3.5661,2021-01-10T06:00:00Z,187915.25,3.3648558019
3.4932,3.6654,2.6457,1806,3.1211,2021-01-11T06:00:00Z,66337.38,3.108665671
3.6627,3.92,3.4,2358,3.4996,2021-01-12T06:00:00Z,107551.81,3.6465005172
3.61,5.988,3.5,2306,3.6892,2021-01-13T06:00:00Z,118896.52,3.9780655144
3.8787,4.25,3.4693,1365,3.6363,2021-01-14T06:00:00Z,85894.4,3.8329422978
3.3863,3.95,2.9826,1918,3.8484,2021-01-15T06:00:00Z,149243.84,3.310026953
3.5048,3.7937,3.291,3420,3.3882,2021-01-16T06:00:00Z,249490.34,3.5099924263
3.7825,4.0644,3.3306,2800,3.5048,2021-01-17T06:00:00Z,186117.71,3.7846835666
3.9,4.1562,3.7567,2161,3.7844,2021-01-18T06:00:00Z,147559.4,3.9231069729
3.5864,3.9754,3.5427,1798,3.8787,2021-01-19T06:00:00Z,145636.37,3.7300151622
3.5666,3.7444,3.3514,1506,3.5924,2021-01-20T06:00:00Z,98007.3,3.5830995751
3.12,3.5905,2.7123,2105,3.5666,2021-01-21T06:00:00Z,159705.26,3.1449475073
3.4833,3.5155,3.0775,921,3.1003,2021-01-22T06:00:00Z,66958.53,3.3754071707
3.6833,3.6931,3.4584,974,3.493,2021-01-23T06:00:00Z,78052.98,3.5296433423
3.5921,3.8173,3.532,964,3.6865,2021-01-24T06:00:00Z,77442.54,3.6519711251
3.8265,3.9772,3.4494,2173,3.5935,2021-01-25T06:00:00Z,188055.34,3.744078122
3.7458,4.105,3.6634,1879,3.8265,2021-01-26T06:00:00Z,165523.1,3.9414173776
3.7686,3.808,3.5256,788,3.7501,2021-01-27T06:00:00Z,74903.42,3.6967644724
3.6671,3.9514,3.6671,850,3.7689,2021-01-28T06:00:00Z,70154.57,3.837570619
3.8383,3.9153,3.65,1006,3.6671,2021-01-29T06:00:00Z,59354,3.7946385602
4.4153,4.4456,3.7853,3016,3.8153,2021-01-30T06:00:00Z,354324.45,4.1012985655
4.2194,4.7897,4.1217,2859,4.4167,2021-01-31T06:00:00Z,285783.28,4.4369699011
4.9083,4.9191,4.1358,1620,4.2136,2021-02-01T06:00:00Z,134969.81,4.5778893693
5.2084,5.4002,4.88,3160,4.9277,2021-02-02T06:00:00Z,244479.28,5.169150873
6.0056,6.0739,5.1475,2123,5.209,2021-02-03T06:00:00Z,133848.89,5.6775229244
6.7706,6.9423,5.6148,3372,6.0056,2021-02-04T06:00:00Z,252301.91,6.2171304313
6.0667,7.1392,5.88,4412,6.7952,2021-02-05T06:00:00Z,278170.67,6.6051235405
5.89,6.3824,5.7539,3016,6.0667,2021-02-06T06:00:00Z,183620.57,6.0658929412
6.973,6.9833,5.8519,3374,5.9073,2021-02-07T06:00:00Z,173099.25,6.6090499223
8.2711,9.0157,6.9658,7407,6.9694,2021-02-08T06:00:00Z,218076.31,7.9178400928
8.1756,8.5,7.6101,4801,8.2711,2021-02-09T06:00:00Z,203021.17,7.9777383352
9.3596,9.4731,7.59,7321,8.2199,2021-02-10T06:00:00Z,262510.72,8.566749079
9.3826,9.93,8.9,6633,9.3597,2021-02-11T06:00:00Z,162800.07,9.3263644388
9.4583,9.9262,9.1441,2838,9.3459,2021-02-12T06:00:00Z,99323.02,9.4901068469
8.6894,9.5188,8.5828,3324,9.4682,2021-02-13T06:00:00Z,149961.95,8.9926368256
7.9532,9.184,7.7,3545,8.6808,2021-02-14T06:00:00Z,173890.89,8.4648172428
8.632,9.302,7.9553,3601,7.9746,2021-02-15T06:00:00Z,173600.46,8.7874904728
7.6915,8.7888,7.5,1707,8.632,2021-02-16T06:00:00Z,87166.9,8.1550041096
8.6013,8.6049,7.5636,2610,7.6691,2021-02-17T06:00:00Z,130856.64,8.2056150512
8.6875,9.2898,8.4229,3193,8.6025,2021-02-18T06:00:00Z,122687.92,8.9073397624
11.22,12.6638,8.6179,8036,8.6179,2021-02-19T06:00:00Z,339382.69,11.0586101903
10.2292,11.3412,9.83,3671,11.212,2021-02-20T06:00:00Z,171310.3,10.4994328396
10.52,11.8881,10.03,4951,10.2292,2021-02-21T06:00:00Z,207461.17,11.0681519865
13.1188,15.2869,9.1947,19631,10.52,2021-02-22T06:00:00Z,1140084.01,12.8070286663
15.5016,16.65,11.5979,19431,13.1188,2021-02-23T06:00:00Z,780610.69,14.8699792991
16.5675,18.1939,15.2182,9276,15.5158,2021-02-24T06:00:00Z,440947.45,16.8776107839
13.58,16.7,13.3448,6395,16.6336,2021-02-25T06:00:00Z,385001.56,14.8060965679
13.96,15.5212,13.0901,4494,13.6,2021-02-26T06:00:00Z,235279.98,14.2860786373
12.2,14.4428,12.08,3967,13.96,2021-02-27T06:00:00Z,193714.89,13.41915806
15.1412,16.49,11.52,8574,12.1902,2021-02-28T06:00:00Z,248936.26,13.226666859
14.5357,18.5,14.2483,10764,15.1411,2021-03-01T06:00:00Z,269807.49,15.6287437506
14,16,13.5,5051,14.5357,2021-03-02T06:00:00Z,169768.84,14.2474653223
13.8964,14.8571,13.6248,5002,14,2021-03-03T06:00:00Z,242882.25,14.2875598148
12.3589,13.9137,12.25,3381,13.8752,2021-03-04T06:00:00Z,177791.13,12.8898962046
12.3859,12.9821,12.1495,2473,12.3395,2021-03-05T06:00:00Z,113433.47,12.5568361148
12.7748,13.3252,11.9,2834,12.3859,2021-03-06T06:00:00Z,119934.43,12.7227947344
13.5683,14.0307,12.707,3375,12.7748,2021-03-07T06:00:00Z,124422.5,13.530255998
14.0242,14.1795,13.0527,3007,13.5591,2021-03-08T06:00:00Z,117449.22,13.5814468609
14.3803,15.2282,13.8161,4160,14.0757,2021-03-09T06:00:00Z,151551.39,14.5929651997
13.9722,14.8834,13.867,2579,14.3803,2021-03-10T06:00:00Z,148964.95,14.5689893519
16.3564,16.5069,13.677,5491,13.921,2021-03-11T06:00:00Z,304721.22,15.6424486291
14.3407,16.421,13.899,3898,16.3725,2021-03-12T06:00:00Z,241989.55,14.8058639292
14.6719,15.4,14.2445,2753,14.3662,2021-03-13T06:00:00Z,130537.36,14.9423876263
14.5345,15.012,14.3681,1737,14.6787,2021-03-14T06:00:00Z,81051.78,14.6479752779
13.5022,14.5,13.4732,2168,14.5,2021-03-15T05:00:00Z,109574.31,14.0118228103
13.4374,13.9831,13.2425,1736,13.5022,2021-03-16T05:00:00Z,73537.05,13.6397886423
14.1794,14.4665,13.0816,2120,13.38,2021-03-17T05:00:00Z,77497.4,13.879537025
14.08,14.7797,13.85,2025,14.1651,2021-03-18T05:00:00Z,98698.16,14.2816465683
14.3422,14.4873,13.9749,1209,14.08,2021-03-19T05:00:00Z,48941.38,14.2624620153
13.9127,14.9654,13.8864,1813,14.3422,2021-03-20T05:00:00Z,66682.64,14.5117825663
15.721,15.721,13.6376,2418,13.9311,2021-03-21T05:00:00Z,132646.95,14.7235888318
14.8141,16.7611,14.6824,7767,15.6697,2021-03-22T05:00:00Z,401801.7,15.7683697798
14.2381,14.8294,13.8991,2151,14.7811,2021-03-23T05:00:00Z,104411.72,14.3426139393
13.4022,15.332,12.9611,3127,14.2193,2021-03-24T05:00:00Z,145507.46,14.2345955327
13.045,13.681,12.2869,2838,13.4045,2021-03-25T05:00:00Z,181754.39,12.880558928
14.9299,15.0622,13.0197,3677,13.0572,2021-03-26T05:00:00Z,215685.13,14.3102941761
17.16,17.75,14.9167,7573,14.96,2021-03-27T05:00:00Z,403970.23,16.3393024351
18.2385,19.39,16.9426,10901,17.1851,2021-03-28T05:00:00Z,485394.67,18.5039643498
20.223,20.33,17.6482,6318,18.25,2021-03-29T05:00:00Z,253255.44,18.9344401807
18.85,20.84,18.2375,4523,20.223,2021-03-30T05:00:00Z,171078.05,19.6855878787
20.1783,20.3468,18.0724,4547,18.8415,2021-03-31T05:00:00Z,165534.71,19.2529644956
18.8012,20.3473,18.5318,3855,20.1449,2021-04-01T05:00:00Z,142116.81,19.1546050262
21.1489,21.2345,18.6378,5738,18.8012,2021-04-02T05:00:00Z,202682.29,20.0733351822
23.0503,23.8009,20.5217,14817,21.1605,2021-04-03T05:00:00Z,655861.04,22.3781700627
24.1103,25.5356,22.7921,11228,23.1104,2021-04-04T05:00:00Z,481681.56,24.2067562072
23.052,24.5995,22.4772,5800,24.0461,2021-04-05T05:00:00Z,196454.48,23.4187280728
25.2418,25.9226,21.8331,10322,23.1269,2021-04-06T05:00:00Z,365967.15,23.9249911596
26.5141,28.4802,23,14748,25.2609,2021-04-07T05:00:00Z,474033.19,26.2379492939
28.214,28.3325,25.6135,7846,26.5271,2021-04-08T05:00:00Z,242941.95,26.7311688614
27.202,28.9989,26.8885,6796,28.3279,2021-04-09T05:00:00Z,194722.46,28.078196933
26,28.1432,25.8666,4687,27.2043,2021-04-10T05:00:00Z,140572.37,26.8441244764
28.51,29.89,25.524,7659,26.0302,2021-04-11T05:00:00Z,182712.14,28.1570506642
27.7106,29.4028,26.8357,5806,28.5495,2021-04-12T05:00:00Z,192002.59,28.0966972173
26.998,28.2158,26.26,6334,27.7558,2021-04-13T05:00:00Z,185605.54,27.1116355753
25.8292,27.3217,24.7472,8110,26.9766,2021-04-14T05:00:00Z,303005.3,26.0377270093
27.2619,28.25,25.6611,6714,25.855,2021-04-15T05:00:00Z,183896.64,27.3075159608
25.919,27.6088,24.98,6791,27.2564,2021-04-16T05:00:00Z,205630.56,25.7952494699
23.8603,26.7854,20.9699,7978,25.9193,2021-04-17T05:00:00Z,230457.05,24.1888623637
30.4477,32.98,23.8034,27468,23.8597,2021-04-18T05:00:00Z,832975.82,29.4365675644
31.2939,36.0139,28.7118,24492,30.4136,2021-04-19T05:00:00Z,794129.17,32.627469754
32.6,33.8289,28.9564,11223,31.2362,2021-04-20T05:00:00Z,380566.29,31.3095365312
35.8273,37.1008,30.1468,17037,32.5791,2021-04-21T05:00:00Z,531241.01,34.0084690976
33.2715,41.6667,33.261,33999,35.8016,2021-04-22T05:00:00Z,983512.55,37.6704716619
36.1117,37.8877,31.5719,15117,33.3471,2021-04-23T05:00:00Z,416516.07,35.2284068524
41.0465,43.7165,35.0531,22512,36.2105,2021-04-24T05:00:00Z,481069.79,40.4421615407
46,48.7833,40.6019,32670,41.0465,2021-04-25T05:00:00Z,834755.07,45.3712329815
45.0072,48.5,43.3755,20089,46,2021-04-26T05:00:00Z,420303.29,45.8687990293
42.9253,46.4164,42,16324,45.0072,2021-04-27T05:00:00Z,378008.81,43.9035336036
43.2885,46.982,40.6938,17344,43.0236,2021-04-28T05:00:00Z,382024.6,44.5645569052
43.0149,44.7365,40.92,15922,43.3127,2021-04-29T05:00:00Z,423103.86,42.755455388
42.8118,44.3202,42.0546,11918,43.0149,2021-04-30T05:00:00Z,232137.18,43.0292467348
48.1643,50,42.3734,19651,42.9169,2021-05-01T05:00:00Z,320209.35,47.3847844337
48.1772,48.2828,46,8787,48.1134,2021-05-02T05:00:00Z,149129.35,47.1116840181
45.6859,49.0564,43.2263,14992,48.1984,2021-05-03T05:00:00Z,359401.39,46.2886823748
43.4016,47.8005,42.2617,14155,45.7,2021-05-04T05:00:00Z,262800.32,44.6835276584
44.1681,46.0257,43,10987,43.5641,2021-05-05T05:00:00Z,197744.59,44.7076742366
41.5236,44.7721,41.5235,9709,43.9885,2021-05-06T05:00:00Z,192877.74,43.2932973005
43.2852,46.2652,41.5236,12780,41.5236,2021-05-07T05:00:00Z,223337.88,43.7816604863
45.9119,47.2193,42.8084,13382,43.2517,2021-05-08T05:00:00Z,214349.63,45.0811022165
45.2336,46.2517,43.3408,7767,45.99,2021-05-09T05:00:00Z,115742.16,44.600089895
40.7718,45.961,39.6197,11615,45.3026,2021-05-10T05:00:00Z,208173.16,42.7043255522
43.86,45.6196,39.8165,11176,40.7891,2021-05-11T05:00:00Z,179019.59,42.7509952329
42.9871,49.2641,39.8,35034,43.86,2021-05-12T05:00:00Z,631285.62,45.5219802624
40.681,45.0195,37.5,19028,43,2021-05-13T05:00:00Z,371795.13,40.9001295172
42.105,44.9938,40.2958,12021,40.681,2021-05-14T05:00:00Z,242264.03,42.809005293
46.5429,47.84,39.3883,17577,42.0474,2021-05-15T05:00:00Z,340728.12,43.7624506086
46.9467,52.4477,41.8646,35998,46.4339,2021-05-16T05:00:00Z,746615.19,47.0330872133
49.1262,51.9,45.5531,35962,46.8341,2021-05-17T05:00:00Z,759888.18,48.7324026943
47.6552,58.9232,44.4814,44796,48.9878,2021-05-18T05:00:00Z,841773.44,53.23336533
37.291,52.1197,29.5001,56739,47.593,2021-05-19T05:00:00Z,1124918.54,40.7839443336
44.258,52.4973,36.7171,44435,37.2272,2021-05-20T05:00:00Z,809099.01,45.6654229094
37.2041,45.7494,33.6991,31086,44.3161,2021-05-21T05:00:00Z,639808.32,38.9137647882
29.9459,38.3205,29.1314,21188,37.1944,2021-05-22T05:00:00Z,536710.26,33.0979742554
26.2066,29.9564,19,34756,29.95,2021-05-23T05:00:00Z,1209513.39,24.232442139
28.7712,33.2564,26.086,28890,26.4482,2021-05-24T05:00:00Z,875641.19,30.0413308283
32.6103,32.6319,26,21106,28.7025,2021-05-25T05:00:00Z,605091.09,29.5151281107
32.4625,37.2694,31.1342,24827,32.611,2021-05-26T05:00:00Z,641649.01,34.1283948036
32.422,35.5,31.8337,12845,32.4013,2021-05-27T05:00:00Z,374922.06,34.0337513091
28.5378,32.6884,27.9863,13988,32.3193,2021-05-28T05:00:00Z,456971.54,29.8442914999
27.1117,30.0433,25.6266,10672,28.5378,2021-05-29T05:00:00Z,375732.58,26.9743719683
28.1511,29.7872,27.1337,8796,27.14,2021-05-30T05:00:00Z,276628.31,28.5608028378
32.2504,33,27.8809,13747,28.1162,2021-05-31T05:00:00Z,428484.38,31.6727996438
30.9867,33.2656,29.8254,8183,32.2829,2021-06-01T05:00:00Z,279197.27,31.2299881913
35.3221,35.9527,30.8614,15344,31.0874,2021-06-02T05:00:00Z,587978.07,34.0429704426
37.735,41.3697,35.3515,29433,35.3681,2021-06-03T05:00:00Z,1097816.88,38.6208823502
41.7405,42.5234,34.2905,28172,37.7921,2021-06-04T05:00:00Z,1093838.3,38.2055304688
39.8575,42.7547,37.4,23403,41.7339,2021-06-05T05:00:00Z,874803.5,40.0172612367
42.5718,43.9438,39.5238,23266,39.9001,2021-06-06T05:00:00Z,750294.52,42.0534364425
37.6416,44.18,35.3208,26692,42.5754,2021-06-07T05:00:00Z,838913.47,40.0454041189
41.5291,42.6146,33.5232,34106,37.5904,2021-06-08T05:00:00Z,1019873.35,38.3807700733
41.5764,44.581,40.5882,26588,41.5287,2021-06-09T05:00:00Z,550406.49,42.4220356502
40.0207,43,39.3508,14827,41.5629,2021-06-10T05:00:00Z,321340.37,40.99296228
35.0524,40.1,34.2,18215,40.041,2021-06-11T05:00:00Z,534420.79,36.778846255
35.8961,37.71,34.5525,9804,35.13,2021-06-12T05:00:00Z,252681.25,36.4004233157
38.0017,39.4,34.6973,12481,35.8558,2021-06-13T05:00:00Z,309341.49,37.6209823229
41.1926,41.1926,36.75,14800,38.0001,2021-06-14T05:00:00Z,376496.07,39.2193494845
39.4747,41.7337,38.747,11509,41.1926,2021-06-15T05:00:00Z,279964.14,40.1641917852
39.9844,41.6352,37.5,14554,39.4304,2021-06-16T05:00:00Z,366729.93,39.571826279
39.154,41.2346,38.1994,10519,39.9844,2021-06-17T05:00:00Z,303571.55,39.4764293789
35.7253,39.4256,34.9189,10719,39.1635,2021-06-18T05:00:00Z,283767.89,36.5563036089
35.4268,36.963,34.3685,5940,35.7253,2021-06-19T05:00:00Z,152440.51,35.5931244073
32.7364,35.9263,31.21,15097,35.4423,2021-06-20T05:00:00Z,470292.22,33.4585424656
27.1189,33.3565,25,23626,32.7421,2021-06-21T05:00:00Z,820999.54,28.9438289402
29.9283,31.6246,20.23,27258,27.1794,2021-06-22T05:00:00Z,682494.94,25.8802337723
28.7321,32.9181,28.3391,27227,29.9926,2021-06-23T05:00:00Z,630475.78,30.0189007885
32.2044,32.9953,28.6,19277,28.7073,2021-06-24T05:00:00Z,407040.24,31.4522868855
29.76,32.3432,27.9952,22857,32.1631,2021-06-25T05:00:00Z,501487.68,29.4449864312
30.396,30.96,26.7147,16354,29.7855,2021-06-26T05:00:00Z,347754.04,28.4766546813
31.3305,31.9285,29.6076,10948,30.4691,2021-06-27T05:00:00Z,263877.94,30.705014478
33.323,34.2891,31.255,14304,31.3147,2021-06-28T05:00:00Z,248304.8,32.9349058041
31.8951,35.8084,31.8488,15320,33.35,2021-06-29T05:00:00Z,277326.99,34.2352722985
34.4684,35.9866,31.59,17745,31.912,2021-06-30T05:00:00Z,377940.75,33.754641842
