c,h,l,n,o,t,v,vw
8.359,50.0,7.666,6124,10.0,2021-07-23T05:00:00Z,658562.779,8.1724148317
7.933,8.455,7.769,5256,8.368,2021-07-24T05:00:00Z,640589.24,8.1489018251
9.298,9.454,7.817,6158,7.941,2021-07-25T05:00:00Z,755833.665,8.4906092846
8.111,9.626,7.882,4542,9.314,2021-07-26T05:00:00Z,613974.321,8.686851811
8.225,8.549,7.828,3261,8.111,2021-07-27T05:00:00Z,538509.0,8.185211647
8.152,8.499,8.016,2400,8.204,2021-07-28T05:00:00Z,351834.064,8.2394268029
8.386,8.533,8.0,2740,8.148,2021-07-29T05:00:00Z,441682.7,8.2032167667
8.376,8.6,7.865,3781,8.382,2021-07-30T05:00:00Z,512493.933,8.2401364705
9.133,9.2,8.215,5303,8.383,2021-07-31T05:00:00Z,659970.803,8.7198036771
8.438,9.155,8.289,6395,9.122,2021-08-01T05:00:00Z,721097.879,8.6605389208
7.976,8.714,7.976,5790,8.433,2021-08-02T05:00:00Z,577403.579,8.4359671323
8.043,8.198,7.877,7764,7.979,2021-08-03T05:00:00Z,799634.315,8.0330003384
8.599,8.883,7.948,8784,8.048,2021-08-04T05:00:00Z,890120.214,8.5214239798
9.123,9.684,8.192,13957,8.593,2021-08-05T05:00:00Z,1330025.104,9.0322535617
10.195,10.51,8.992,11099,9.118,2021-08-06T05:00:00Z,963685.55,9.7234969836
10.162,10.701,9.784,10830,10.208,2021-08-07T05:00:00Z,914687.865,10.1928192103
9.317,10.395,9.049,12765,10.144,2021-08-08T05:00:00Z,925439.057,9.5744155995
10.144,10.254,9.101,15527,9.318,2021-08-09T05:00:00Z,934055.757,9.7912184235
11.129,11.197,9.779,19618,10.145,2021-08-10T05:00:00Z,1261962.24,10.3873390667
11.224,12.146,11.035,25663,11.153,2021-08-11T05:00:00Z,1409126.194,11.5265650505
12.206,12.466,10.526,23974,11.251,2021-08-12T05:00:00Z,1466694.654,11.4146031028
12.438,12.873,11.792,14995,12.198,2021-08-13T05:00:00Z,704532.639,12.305566963
12.047,12.658,11.819,13916,12.431,2021-08-14T05:00:00Z,616659.195,12.125686629
12.333,12.717,11.521,16365,12.035,2021-08-15T05:00:00Z,898915.313,12.0366063011
13.417,13.809,11.957,31133,12.321,2021-08-16T05:00:00Z,1774749.379,12.8031993894
12.737,14.459,12.018,45667,13.395,2021-08-17T05:00:00Z,2334704.867,13.3736643879
12.425,13.355,12.163,31629,12.729,2021-08-18T05:00:00Z,1660419.763,12.720211811
14.039,14.39,12.042,31681,12.413,2021-08-19T05:00:00Z,1800719.672,13.2986636542
14.116,14.833,13.544,25254,14.046,2021-08-20T05:00:00Z,1273037.17,14.0673854188
13.763,14.406,13.492,20418,14.115,2021-08-21T05:00:00Z,1048895.634,13.8798826781
14.024,14.152,13.109,19850,13.768,2021-08-22T05:00:00Z,1001771.437,13.6536212753
13.516,14.18,13.39,15752,14.024,2021-08-23T05:00:00Z,888759.432,13.7613777325
12.329,13.577,12.201,28274,13.506,2021-08-24T05:00:00Z,1551918.271,12.6658402051
11.814,12.6,11.536,28174,12.34,2021-08-25T05:00:00Z,1960151.698,12.1218122923
11.431,11.95,11.184,15865,11.806,2021-08-26T05:00:00Z,2570381.627,11.6004934639
12.069,12.3,11.382,12434,11.478,2021-08-27T05:00:00Z,1740665.066,11.9282294199
11.56,12.182,11.398,5362,12.062,2021-08-28T05:00:00Z,628631.341,11.908075978
11.102,11.786,11.055,4599,11.537,2021-08-29T05:00:00Z,436390.532,11.474890226
11.499,12.2,11.002,8741,11.094,2021-08-30T05:00:00Z,912230.982,11.6262810624
12.642,12.726,11.378,10995,11.475,2021-08-31T05:00:00Z,1018652.546,11.9659220863
13.312,13.936,12.418,13174,12.68,2021-09-01T05:00:00Z,1059729.299,13.2153562097
13.16,13.558,12.763,8917,13.276,2021-09-02T05:00:00Z,582017.501,13.1818744021
12.995,13.568,12.86,6000,13.147,2021-09-03T05:00:00Z,394600.868,13.1380403958
13.199,13.325,12.828,7104,12.992,2021-09-04T05:00:00Z,406489.801,13.0441814377
14.025,14.31,13.056,8842,13.194,2021-09-05T05:00:00Z,563040.411,13.9255049699
13.586,14.304,13.25,6089,13.989,2021-09-06T05:00:00Z,320450.006,13.7267877764
10.908,13.764,9.401,17478,13.574,2021-09-07T05:00:00Z,960334.892,11.7259011908
11.617,11.648,10.08,9313,10.935,2021-09-08T05:00:00Z,568601.381,11.0708421376
11.168,11.923,10.943,11109,11.597,2021-09-09T05:00:00Z,847704.051,11.3496462375
10.307,11.179,9.801,10540,11.15,2021-09-10T05:00:00Z,817331.344,10.3866250576
10.763,10.882,10.114,4960,10.329,2021-09-11T05:00:00Z,501547.575,10.5216675353
10.854,12.06,10.753,11254,10.76,2021-09-12T05:00:00Z,1076784.494,11.4116734313
11.076,11.38,10.052,7560,10.851,2021-09-13T05:00:00Z,505925.888,10.6698068028
12.939,13.305,11.035,18667,11.106,2021-09-14T05:00:00Z,1487168.3,12.5820526336
15.466,15.739,12.647,31438,12.922,2021-09-15T05:00:00Z,2200400.077,14.6635689056
14.667,16.203,14.348,31695,15.446,2021-09-16T05:00:00Z,2414072.104,15.1813847276
12.813,14.744,12.107,28833,14.699,2021-09-17T05:00:00Z,2555485.547,13.165285353
12.312,13.3,12.202,13694,12.824,2021-09-18T05:00:00Z,1266071.093,12.811235796
11.224,12.557,10.99,12531,12.303,2021-09-19T05:00:00Z,1107515.339,11.8902945451
10.178,11.312,9.565,17578,11.211,2021-09-20T05:00:00Z,1637762.28,10.5329902328
9.47,10.874,8.89,9073,10.182,2021-09-21T05:00:00Z,775029.85,9.87260084
10.675,10.928,9.476,6821,9.476,2021-09-22T05:00:00Z,620134.785,10.2592126508
10.263,10.8,10.125,6205,10.679,2021-09-23T05:00:00Z,540568.921,10.4838404334
9.505,10.596,8.933,10852,10.266,2021-09-24T05:00:00Z,934451.55,9.662479366
9.216,9.806,9.037,5026,9.468,2021-09-25T05:00:00Z,453501.422,9.457742822
11.216,11.969,8.503,26153,9.22,2021-09-26T05:00:00Z,2307813.464,10.7237167964
10.251,11.452,9.95,11018,11.204,2021-09-27T05:00:00Z,967013.912,10.6032628144
9.937,10.382,9.391,8776,10.251,2021-09-28T05:00:00Z,919688.192,9.9261224592
9.937,10.09,9.228,6425,9.929,2021-09-29T05:00:00Z,564195.865,9.7163578858
10.127,10.366,9.708,4137,9.96,2021-09-30T05:00:00Z,342949.778,10.035409991
10.57,10.976,10.082,6583,10.127,2021-10-01T05:00:00Z,498535.079,10.6661261716
11.016,11.311,10.573,5412,10.595,2021-10-02T05:00:00Z,434605.88,10.9649629661
10.5,11.182,10.316,4549,11.02,2021-10-03T05:00:00Z,351247.847,10.8084527043
