c,h,l,n,o,t,v,vw
28925.75,29999,28441.57,355,29999,2021-12-02T06:00:00Z,14.4187,28839.0931055504
21906.22,29411.77,19270.79,392,28963.75,2021-12-03T06:00:00Z,7.93764,27222.713070875
25241.82,25331.05,21582.3,192,21956.07,2021-12-04T06:00:00Z,5.68051,23768.308795918
23274.71,25346.36,22960.55,188,25198.82,2021-12-05T06:00:00Z,8.38034,23725.5956712496
24131.11,24252.9,21833.93,424,23268.86,2021-12-06T06:00:00Z,13.63022,23189.5728223169
22075.77,24574.5,21678.23,865,24031.58,2021-12-07T06:00:00Z,23.4883,22704.7471036175
22557.59,23983.94,21500,1194,22064.3,2021-12-08T06:00:00Z,43.43806,22663.3951720979
21148.65,22598.62,20667.07,834,22598.62,2021-12-09T06:00:00Z,30.73969,21594.0745718483
20473.56,21610.27,19772.68,603,21279.24,2021-12-10T06:00:00Z,21.33484,20571.3615414364
21136.81,23317.44,20357.3,1073,20418.08,2021-12-11T06:00:00Z,44.6107,21929.7411508158
21306.08,22645.66,20785.8,640,21064.82,2021-12-12T06:00:00Z,26.60884,21572.603931062
19627.74,21421.85,19033.37,649,21285.99,2021-12-13T06:00:00Z,44.42954,19891.3868329314
20100,20409.36,19302.24,456,19415.42,2021-12-14T06:00:00Z,43.70179,19966.2845554335
21028.72,22210.5,18857.99,1676,20079.32,2021-12-15T06:00:00Z,58.75954,20942.9586540773
25083.14,26037.15,20856.62,4317,21080.4,2021-12-16T06:00:00Z,155.51649,24261.0294682204
33234.21,34702.31,24499.78,17608,25000,2021-12-17T06:00:00Z,600.10572,30423.759470268
31036,33395.63,30261.03,6721,33387.31,2021-12-18T06:00:00Z,212.71414,31724.6169854919
33061.59,33392.61,30856.15,6620,31041.8,2021-12-19T06:00:00Z,206.73078,32153.9242518289
35553.85,39293.11,32716.63,12923,33050.49,2021-12-20T06:00:00Z,443.93886,36568.3369533332
34000.87,36870.32,33864.95,4093,35590.67,2021-12-21T06:00:00Z,136.53349,35165.7509052468
31918.01,33921.19,31271.03,3342,33921.19,2021-12-22T06:00:00Z,106.7671,32676.241511298
30887.06,33263.53,30348.46,3446,31852.54,2021-12-23T06:00:00Z,121.91283,31763.6161098007
32857.52,33731.48,30341.1,3715,30887.06,2021-12-24T06:00:00Z,114.80534,32083.9896875877
30480.69,32923.51,30363.99,1647,32923.51,2021-12-25T06:00:00Z,62.28676,31323.5959701805
31704.05,32110.39,30611.36,1390,30611.36,2021-12-26T06:00:00Z,47.87162,31371.2058897568
29893.68,34760.32,29287,3927,31710.07,2021-12-27T06:00:00Z,123.85797,32203.44977361
29000.99,30800.08,28547.62,2730,30018.73,2021-12-28T06:00:00Z,98.10324,29707.5938773042
28636.4,31250,27730.07,2796,29089.08,2021-12-29T06:00:00Z,99.02873,29407.0524310783
29950,30627.87,28598.89,1662,28715,2021-12-30T06:00:00Z,54.24734,29494.3940226378
33891.55,34292.64,30004.57,4388,30045.31,2021-12-31T06:00:00Z,138.33059,32443.9680948191
36335.14,38501.16,32476.3,4861,33904.26,2022-01-01T06:00:00Z,133.26582,35585.0764248905
40919.54,41682.36,35795.59,6529,36225.76,2022-01-02T06:00:00Z,202.34092,39170.1527594927
38772.92,41619.8,37630.44,5068,40981.55,2022-01-03T06:00:00Z,150.2413,39651.295560284
36842.18,39714.28,35755.55,2693,38793.03,2022-01-04T06:00:00Z,89.81296,37797.8462958642
32336.34,37264.03,30999.13,3916,36877.76,2022-01-05T06:00:00Z,107.99161,34383.9517905826
33595,37004.69,31200,8377,32281.98,2022-01-06T06:00:00Z,246.90712,34553.7309059123
35357.89,37065.3,32473.35,7784,33599.63,2022-01-07T06:00:00Z,212.61424,35032.6743668204
34015.85,35722.46,31938.97,3797,35147.47,2022-01-08T06:00:00Z,128.48133,33983.8734315959
32411.45,35323.85,31880.05,2897,34122.06,2022-01-09T06:00:00Z,90.04758,33563.887164016
