c,h,l,n,o,t,v,vw
343.01,352.94,332.35,1808,350.41,2021-01-01T06:00:00Z,1167.4296,342.6870932263
359.5,368.17,338.42,3127,342.1,2021-01-02T06:00:00Z,1883.69669,354.7276559366
442.03,444.8,359.0,5494,359.0,2021-01-03T06:00:00Z,3446.5482,401.4822541042
393.25,467.24,375.0,4210,442.44,2021-01-04T06:00:00Z,2960.04979,421.6068664961
424.48,435.0,390.37,3187,391.81,2021-01-05T06:00:00Z,1839.4023,414.9528258921
458.86,467.87,420.49,3282,424.83,2021-01-06T06:00:00Z,1458.89523,444.6277526811
417.07,484.64,404.23,4656,456.8,2021-01-07T06:00:00Z,3175.61607,446.9165686388
421.0,455.04,413.0,4391,415.92,2021-01-08T06:00:00Z,1758.69969,435.3804316681
607.6,630.53,418.4,14490,420.8,2021-01-09T06:00:00Z,7594.0627,541.0091024431
500.0,625.26,470.28,13796,608.37,2021-01-10T06:00:00Z,9572.99711,576.5147327904
490.38,521.5,400.0,9573,500.03,2021-01-11T06:00:00Z,5437.20046,457.2279591548
464.83,516.31,435.0,7337,493.29,2021-01-12T06:00:00Z,3120.21973,469.2574483372
489.17,506.79,465.18,3343,465.18,2021-01-13T06:00:00Z,1561.46496,483.6109169931
498.6,538.85,489.51,5062,489.77,2021-01-14T06:00:00Z,2429.72258,515.3395443288
480.84,514.77,453.01,4894,498.6,2021-01-15T06:00:00Z,2159.94507,484.4945381576
476.72,515.82,471.0,4312,481.61,2021-01-16T06:00:00Z,1994.59492,496.8750576944
475.55,491.02,462.21,3860,476.72,2021-01-17T06:00:00Z,1722.52052,480.1833960649
517.83,526.45,472.26,6255,474.86,2021-01-18T06:00:00Z,3385.28525,504.6972970177
502.82,553.91,492.74,4446,516.4,2021-01-19T06:00:00Z,2329.21626,524.145084183
478.66,508.4,470.0,3982,502.45,2021-01-20T06:00:00Z,1638.04121,486.1167422505
422.33,485.95,390.03,5869,478.91,2021-01-21T06:00:00Z,4233.61868,430.1220540468
438.25,450.94,410.63,3294,422.07,2021-01-22T06:00:00Z,1784.03785,434.1624748836
