c,h,l,n,o,t,v,vw
733.65,745.0,716.65,6514,742.15,2021-01-01T06:00:00Z,6534.81013,731.8077801819
786.88,791.08,725.44,15214,735.29,2021-01-02T06:00:00Z,16071.74933,769.7877324777
1086.86,1098.0,784.55,43031,786.64,2021-01-03T06:00:00Z,44039.92386,942.6204836985
991.4,1169.05,880.0,51353,1086.86,2021-01-04T06:00:00Z,50778.44556,1030.8937818789
1105.56,1138.0,980.08,26369,992.0,2021-01-05T06:00:00Z,25283.79028,1073.6619423764
1212.89,1228.49,1093.65,28378,1104.7,2021-01-06T06:00:00Z,24657.30449,1172.4414987613
1149.52,1290.0,1059.9,29831,1212.27,2021-01-07T06:00:00Z,29343.04389,1198.8967588407
1187.2,1274.81,1126.6,26741,1149.53,2021-01-08T06:00:00Z,23375.16751,1208.0820000635
1319.31,1344.49,1175.0,21164,1186.99,2021-01-09T06:00:00Z,18528.98057,1268.9786843713
1092.0,1349.99,1007.03,43047,1318.8,2021-01-10T06:00:00Z,34149.59832,1213.7368760672
1129.43,1148.0,912.0,46756,1096.29,2021-01-11T06:00:00Z,44372.22126,1023.7464020575
1034.85,1149.97,987.3,30195,1130.0,2021-01-12T06:00:00Z,27234.5122,1064.8005211697
1110.53,1148.0,1031.55,20908,1036.17,2021-01-13T06:00:00Z,21471.1329,1097.5994993519
1184.18,1255.32,1107.05,25787,1110.25,2021-01-14T06:00:00Z,26840.74948,1204.0567332449
1163.89,1246.0,1070.1,29320,1183.69,2021-01-15T06:00:00Z,26921.26511,1164.2141187212
1215.22,1293.11,1163.48,23468,1164.77,2021-01-16T06:00:00Z,20045.6135,1235.7047839509
1207.85,1268.87,1166.29,21199,1214.25,2021-01-17T06:00:00Z,18269.02018,1219.2881095018
1320.57,1345.0,1195.3,21173,1207.85,2021-01-18T06:00:00Z,17491.56837,1273.1343371738
1368.36,1439.95,1319.0,36466,1323.0,2021-01-19T06:00:00Z,29336.15788,1386.2963752703
1305.76,1389.83,1233.86,34901,1367.97,2021-01-20T06:00:00Z,26609.89276,1316.3719328465
1174.8,1322.44,1040.41,41099,1305.7,2021-01-21T06:00:00Z,40135.19847,1171.9660234071
1265.64,1275.06,1120.1,23775,1175.69,2021-01-22T06:00:00Z,18719.01805,1223.3213855436
1323.99,1337.44,1197.64,20192,1265.61,2021-01-23T06:00:00Z,14805.55291,1262.0530644025
1441.03,1475.32,1298.92,30823,1326.17,2021-01-24T06:00:00Z,27254.50878,1384.4375594225
1340.27,1445.84,1285.15,30806,1441.13,2021-01-25T06:00:00Z,26522.63414,1370.1967470601
1286.54,1375.0,1245.33,23838,1340.27,2021-01-26T06:00:00Z,21266.34618,1319.1685448832
1303.91,1312.16,1207.0,30534,1285.0,2021-01-27T06:00:00Z,26239.26252,1262.1652895808
1305.82,1377.5,1266.87,31599,1303.57,2021-01-28T06:00:00Z,25143.24304,1332.6198677585
1338.0,1440.0,1295.02,44599,1304.68,2021-01-29T06:00:00Z,35636.51139,1374.4004374177
1351.0,1393.0,1328.12,16855,1337.76,2021-01-30T06:00:00Z,13194.71091,1365.0296018413
1321.58,1372.57,1270.78,21131,1351.0,2021-01-31T06:00:00Z,16849.27888,1311.7718111472
1389.21,1411.34,1300.0,18747,1322.16,2021-02-01T06:00:00Z,13700.25496,1354.038912038
1544.57,1564.53,1389.23,40854,1389.23,2021-02-02T06:00:00Z,30016.045,1487.4137880452
1658.07,1698.0,1515.36,37434,1544.56,2021-02-03T06:00:00Z,26985.26337,1624.4186573572
1633.55,1685.98,1556.45,40682,1658.08,2021-02-04T06:00:00Z,29010.21591,1627.1980070141
1662.43,1764.0,1632.82,33923,1633.33,2021-02-05T06:00:00Z,21791.58519,1699.6392781786
1617.66,1720.3,1587.74,30400,1662.99,2021-02-06T06:00:00Z,18594.19007,1674.2966288754
1610.0,1657.26,1491.14,30695,1618.07,2021-02-07T06:00:00Z,20260.6991,1584.5905721104
1747.1,1783.0,1608.52,36009,1608.93,2021-02-08T06:00:00Z,23720.49893,1716.6683572078
1800.46,1828.0,1717.34,33456,1745.0,2021-02-09T06:00:00Z,20688.37689,1770.321169732
1720.27,1843.14,1680.0,33888,1800.58,2021-02-10T06:00:00Z,21756.48177,1740.9907232046
1762.73,1819.04,1720.85,27323,1721.64,2021-02-11T06:00:00Z,14793.14514,1779.0355801057
1853.21,1875.51,1748.49,27550,1763.06,2021-02-12T06:00:00Z,14995.39667,1824.1320187661
1840.17,1854.58,1766.61,22202,1854.11,2021-02-13T06:00:00Z,11639.13432,1813.1767382456
1725.64,1851.46,1651.0,24029,1840.17,2021-02-14T06:00:00Z,15982.60491,1769.8518489329
1808.0,1837.24,1723.3,21346,1725.83,2021-02-15T06:00:00Z,13110.92363,1795.6251764631
1746.82,1824.32,1725.0,18710,1806.52,2021-02-16T06:00:00Z,11584.23407,1767.7625243789
1901.33,1919.43,1744.26,25195,1748.64,2021-02-17T06:00:00Z,18077.71732,1841.5257643052
1913.33,1951.73,1878.51,20478,1900.01,2021-02-18T06:00:00Z,15559.78176,1920.6540471359
2015.11,2046.67,1910.0,27892,1913.31,2021-02-19T06:00:00Z,20427.97262,1965.2127179716
1944.99,2037.06,1805.01,27631,2015.49,2021-02-20T06:00:00Z,18539.54924,1961.1213058077
1867.77,1976.1,1835.0,20398,1943.41,2021-02-21T06:00:00Z,12008.08045,1921.7517031087
1620.0,1891.88,1510.0,48602,1868.49,2021-02-22T06:00:00Z,34107.39518,1717.4746404186
1628.16,1655.3,1351.53,49584,1620.0,2021-02-23T06:00:00Z,38103.85248,1528.3958757206
1624.43,1715.04,1555.7,23069,1627.15,2021-02-24T06:00:00Z,16929.3171,1635.5828461275
1449.4,1672.0,1448.04,24699,1623.97,2021-02-25T06:00:00Z,18733.08406,1542.847803997
1506.18,1563.67,1401.0,22030,1451.2,2021-02-26T06:00:00Z,15929.40731,1481.5996853307
1362.4,1527.94,1353.27,22330,1506.44,2021-02-27T06:00:00Z,20999.51645,1458.9501551277
1434.99,1459.79,1290.0,29941,1364.6,2021-02-28T06:00:00Z,28301.6852,1376.2496709831
1559.49,1606.0,1421.77,22162,1435.0,2021-03-01T06:00:00Z,19715.90434,1531.7013780329
1545.81,1598.1,1455.0,17860,1559.29,2021-03-02T06:00:00Z,13984.33483,1522.4571143062
1563.3,1657.35,1531.76,22457,1545.81,2021-03-03T06:00:00Z,16535.72376,1595.6743747382
1472.01,1602.96,1443.74,18127,1563.3,2021-03-04T06:00:00Z,12532.05451,1521.7366110451
1574.94,1574.94,1443.48,17776,1472.01,2021-03-05T06:00:00Z,10479.2888,1510.8068859068
1663.64,1687.53,1512.72,23025,1574.97,2021-03-06T06:00:00Z,21296.21543,1618.0952736625
1749.49,1755.4,1631.1,20365,1664.45,2021-03-07T06:00:00Z,15596.68625,1694.1784304235
1843.22,1859.0,1665.27,27296,1750.49,2021-03-08T06:00:00Z,17761.82193,1790.7991998229
1800.51,1879.96,1758.12,26513,1842.0,2021-03-09T06:00:00Z,16762.28513,1824.7244797096
1778.11,1871.06,1763.3,20434,1801.2,2021-03-10T06:00:00Z,13625.49736,1814.5234424514
1810.29,1847.66,1725.1,19635,1777.0,2021-03-11T06:00:00Z,13399.74357,1802.8830654027
1771.62,1817.22,1720.22,17926,1809.66,2021-03-12T06:00:00Z,11950.42935,1760.5683766088
1896.93,1943.83,1765.0,22488,1772.16,2021-03-13T06:00:00Z,14901.37313,1886.5080380689
1863.05,1906.76,1837.21,14697,1897.38,2021-03-14T06:00:00Z,8623.77609,1872.8675928922
1749.06,1864.49,1703.03,27741,1863.02,2021-03-15T05:00:00Z,15363.62259,1775.4392544139
1772.02,1818.99,1736.06,17935,1749.65,2021-03-16T05:00:00Z,11049.68025,1786.1699980617
1829.64,1853.95,1741.37,20965,1769.99,2021-03-17T05:00:00Z,11565.83557,1809.8690145689
1783.0,1834.19,1733.36,18080,1830.2,2021-03-18T05:00:00Z,8785.49476,1792.4679314423
1829.4,1844.0,1781.62,14445,1782.99,2021-03-19T05:00:00Z,7862.28661,1816.8306846215
1770.21,1868.86,1766.9,17136,1827.13,2021-03-20T05:00:00Z,8149.36687,1823.3631492635
1788.14,1811.18,1748.14,14941,1770.05,2021-03-21T05:00:00Z,6963.39389,1780.6833617973
1694.78,1809.35,1652.39,21434,1788.65,2021-03-22T05:00:00Z,12155.49326,1725.5138417112
