c,h,l,n,o,t,v,vw
589.3935,601.3636,571.6785,409,593.7765,2021-01-01T06:00:00Z,113.06327,588.9995254794
650.7619,657.0678,580.2073,699,590.0,2021-01-02T06:00:00Z,289.16494,614.8001697363
722.8778,723.3066,638.4615,1073,650.5335,2021-01-03T06:00:00Z,373.08563,670.1604607783
663.8816,756.2446,628.5714,1052,727.7663,2021-01-04T06:00:00Z,438.72852,685.8075950005
784.3956,797.0,655.2183,979,657.1428,2021-01-05T06:00:00Z,255.67187,727.6735275752
1143.8327,1193.214,783.2224,928,783.2224,2021-01-06T06:00:00Z,331.24491,914.4210907912
1054.0794,1323.5106,976.6934,5133,1139.2595,2021-01-07T06:00:00Z,1800.08471,1097.3284957983
1059.1356,1126.2781,983.6522,1481,1053.7653,2021-01-08T06:00:00Z,399.16334,1064.5710364694
1919.2309,2033.1018,1043.2561,5903,1055.594,2021-01-09T06:00:00Z,1725.12755,1613.0088349029
1359.1694,1923.7948,201.0,4428,1919.2406,2021-01-10T06:00:00Z,1374.25958,1586.8334543596
1592.2815,1743.235,1078.6012,3568,1363.7524,2021-01-11T06:00:00Z,1274.65881,1382.274615616
1421.5254,1696.6316,1345.4107,3149,1583.2403,2021-01-12T06:00:00Z,1218.94995,1495.1284217246
1513.7275,1615.3291,1424.4895,1339,1424.4895,2021-01-13T06:00:00Z,533.35227,1519.2514487097
1541.2651,1706.0052,1509.7975,1618,1516.6825,2021-01-14T06:00:00Z,492.31283,1591.3802045609
1494.0197,1602.0601,1338.654,1147,1536.4076,2021-01-15T06:00:00Z,354.79625,1501.8398236128
1470.2989,1621.1022,1446.6342,1557,1501.204,2021-01-16T06:00:00Z,547.33175,1525.7841284301
1432.1333,1489.0456,1380.2333,1139,1465.0,2021-01-17T06:00:00Z,453.6378,1445.5347873695
1427.0,1462.1857,1383.4224,771,1427.1795,2021-01-18T06:00:00Z,245.81012,1422.1170497708
1409.8679,1535.3052,1372.3954,1163,1436.3149,2021-01-19T06:00:00Z,580.66015,1457.268254565
1350.0,1423.259,1273.7753,1290,1415.2538,2021-01-20T06:00:00Z,650.78912,1348.2840981483
1231.3228,1352.2779,1065.0,2752,1348.9202,2021-01-21T06:00:00Z,1234.18648,1211.446997906
1457.3296,1459.345,1190.162,1766,1231.2254,2021-01-22T06:00:00Z,865.74615,1380.739956472
1445.8956,1471.9617,1354.7374,1161,1443.136,2021-01-23T06:00:00Z,649.37987,1414.154990191
1493.3708,1543.3183,1391.613,932,1437.5227,2021-01-24T06:00:00Z,488.99839,1459.7879714907
1380.0,1500.0,1342.573,763,1500.0,2021-01-25T06:00:00Z,578.51904,1416.6937502254
1370.0,1479.7657,1294.9948,1292,1374.7356,2021-01-26T06:00:00Z,518.97924,1379.715739217
1385.6867,1401.4688,1279.7202,659,1379.7535,2021-01-27T06:00:00Z,392.09125,1342.5696158405
1390.4757,1451.0032,1357.2556,972,1388.0288,2021-01-28T06:00:00Z,550.36002,1403.7299356813
1418.0818,1464.1545,1353.6812,962,1385.5657,2021-01-29T06:00:00Z,406.84934,1406.0283060106
1528.7673,1635.824,1403.7069,2074,1415.3362,2021-01-30T06:00:00Z,1045.47602,1539.4934898057
1506.1006,1532.9165,1411.706,1181,1528.7873,2021-01-31T06:00:00Z,517.17952,1470.6800302877
1525.0,1537.0143,1434.905,1392,1502.9061,2021-02-01T06:00:00Z,511.8674,1478.1278235313
1694.0169,1774.4692,1510.0,2505,1529.7006,2021-02-02T06:00:00Z,963.1529,1679.1083218454
1737.2139,1795.6116,1636.3532,1202,1691.1979,2021-02-03T06:00:00Z,331.27951,1720.379193435
2405.4532,2471.7623,1652.6572,6342,1737.2159,2021-02-04T06:00:00Z,2328.66416,2101.7639878215
2382.661,3100.0,2252.8076,6943,2401.8985,2021-02-05T06:00:00Z,2113.02527,2610.6332763155
2440.0,2835.3334,2367.5004,2272,2383.2214,2021-02-06T06:00:00Z,548.78306,2576.1842437691
2596.7917,2736.3854,2255.0,1931,2440.0,2021-02-07T06:00:00Z,484.63625,2512.4457935189
2583.7341,2672.6912,2450.0,2012,2622.5406,2021-02-08T06:00:00Z,440.71745,2565.2273517612
2613.6497,2707.339,2468.1012,2254,2571.4072,2021-02-09T06:00:00Z,376.39392,2572.5189825181
2471.127,2713.0,2356.1528,1304,2644.2019,2021-02-10T06:00:00Z,215.625,2518.5141498607
2576.8895,2628.1509,2450.0,1737,2488.8951,2021-02-11T06:00:00Z,341.15792,2550.4160080647
2719.0,2831.8958,2528.172,2108,2568.1658,2021-02-12T06:00:00Z,368.55788,2713.5448612959
2598.7285,2729.4345,2518.2963,1019,2716.2756,2021-02-13T06:00:00Z,232.49621,2634.7309070555
2342.8606,2677.8146,2212.966,1417,2582.7285,2021-02-14T06:00:00Z,441.23957,2411.5757742134
2547.5893,2597.0127,2330.7178,1280,2342.8606,2021-02-15T06:00:00Z,433.28061,2475.9341618655
2425.5142,2599.9996,2367.5673,891,2550.0715,2021-02-16T06:00:00Z,262.50447,2488.9301795743
2678.4598,2712.1765,2397.453,1434,2424.437,2021-02-17T06:00:00Z,353.25382,2571.5035462238
2526.5427,2676.8796,2508.0001,1462,2673.7437,2021-02-18T06:00:00Z,417.39859,2603.619984579
2604.0414,2625.065,2477.2308,1119,2526.5427,2021-02-19T06:00:00Z,360.13513,2558.57127354
2686.216,3073.2232,2499.3432,3407,2604.031,2021-02-20T06:00:00Z,1443.50347,2785.13331505
2515.6666,2735.242,2488.6758,1051,2684.8758,2021-02-21T06:00:00Z,412.5424,2643.7318818716
2113.7047,2576.5097,2021.5072,2997,2510.5415,2021-02-22T06:00:00Z,819.35329,2269.0704823726
2296.5612,2383.532,1776.5428,3327,2105.2836,2021-02-23T06:00:00Z,742.61203,2094.696491691
2227.8793,2423.9805,2155.4914,1499,2296.5011,2021-02-24T06:00:00Z,343.11866,2270.2439850399
1940.5479,2332.0,1940.5479,1368,2246.6545,2021-02-25T06:00:00Z,522.90876,2118.7860338
2011.34,2130.0944,1885.0,1244,1966.8347,2021-02-26T06:00:00Z,399.10531,1998.630712348
1851.8499,2084.4444,1851.2018,1053,2016.7648,2021-02-27T06:00:00Z,253.84113,1989.5472090721
2154.7453,2182.2201,1789.8466,1441,1856.2838,2021-02-28T06:00:00Z,465.48055,2028.1710555051
2212.1455,2264.9999,2107.7859,1417,2145.1316,2021-03-01T06:00:00Z,600.43045,2189.8395566031
2251.0531,2298.7397,2095.0,1294,2214.7785,2021-03-02T06:00:00Z,305.38968,2203.5785905821
2180.5175,2363.9487,2121.5838,1355,2255.0,2021-03-03T06:00:00Z,500.23247,2255.6801086974
2079.1455,2211.7352,2045.558,869,2170.2775,2021-03-04T06:00:00Z,311.79296,2125.1305197629
2092.9997,2141.7847,2042.8571,628,2089.3546,2021-03-05T06:00:00Z,251.69201,2095.948406238
2203.3709,2328.917,2057.4083,1419,2094.8891,2021-03-06T06:00:00Z,487.3456,2208.2120355088
2237.351,2269.5606,2161.4609,595,2200.9291,2021-03-07T06:00:00Z,181.81221,2218.8659170834
2192.5855,2240.7526,2065.5224,1220,2230.7925,2021-03-08T06:00:00Z,347.90748,2147.8998046044
2203.6154,2322.8068,2168.7724,1103,2193.6821,2021-03-09T06:00:00Z,277.50462,2240.4206005676
2166.728,2328.7546,2155.9752,1093,2206.0338,2021-03-10T06:00:00Z,347.57785,2245.5674746517
2226.9896,2294.5921,2109.7359,985,2179.9275,2021-03-11T06:00:00Z,259.11037,2227.9609010168
2135.4582,2242.3144,2079.501,1117,2227.2046,2021-03-12T06:00:00Z,225.97316,2164.2354086226
2149.351,2246.5142,2095.8256,1024,2130.3291,2021-03-13T06:00:00Z,175.13,2169.7169602048
2069.3233,2206.7427,2040.0,851,2148.9374,2021-03-14T06:00:00Z,177.07948,2130.3536512305
2034.4352,2096.2841,1932.0589,1092,2065.1013,2021-03-15T05:00:00Z,237.99466,1999.6269332611
2073.2709,2112.3349,1989.4849,929,2031.2185,2021-03-16T05:00:00Z,163.66195,2044.8417983113
2127.4869,2173.334,2024.2963,998,2071.5294,2021-03-17T05:00:00Z,117.1946,2121.3271827655
2091.2454,2195.955,2066.1341,1011,2124.5191,2021-03-18T05:00:00Z,264.7154,2136.6755696641
2135.7943,2153.9995,2081.1009,713,2094.1994,2021-03-19T05:00:00Z,82.81231,2110.652918838
2101.0595,2267.3447,2094.9786,1610,2133.5849,2021-03-20T05:00:00Z,275.58942,2182.7835051778
2086.9388,2140.8236,2040.07,1169,2107.1336,2021-03-21T05:00:00Z,130.60657,2090.9720659678
1983.5912,2117.9995,1950.1814,2030,2086.9388,2021-03-22T05:00:00Z,179.75721,2040.6694350801
2058.0381,2070.7904,1907.3598,895,1979.4175,2021-03-23T05:00:00Z,107.23109,1985.952889811
1882.914,2070.6225,1758.9976,1040,2054.6043,2021-03-24T05:00:00Z,191.76421,1872.1847264787
1919.6611,1939.5445,1812.5319,667,1891.9516,2021-03-25T05:00:00Z,91.53527,1889.0939851707
1990.5858,2001.5701,1910.6,809,1919.715,2021-03-26T05:00:00Z,108.24753,1970.4418637929
2107.6994,2233.9011,1946.7501,1836,1992.5779,2021-03-27T05:00:00Z,294.57665,2115.6439618448
